countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4892,,,.69999999,,,,,,,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.41749001,.41959,.41130999,.45337,.43884,.42460001,.38885999,.41012001,.36555001,.37867001,.40033001,.40169001,.42135,.51901001,.51761001,.53658998,.60939002,.61175001,.61303002,,,,,,,,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66221,,1.51495,,1.57661,,1.75362,,1.85394,,2.1831,,2.40242,,2.38395,2.2460599,,2.19575,,,,,,,,,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.99886,1.03166,.97589999,.99816,.96296,1.00193,.98791999,1.08227,1.12986,1.12029,1.1596299,1.14008,1.15114,1.23602,,,,,,,,,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6162,1.62374,1.71746,1.76044,1.87184,2.03846,1.99297,1.98508,2.0136001,1.98645,1.95565,1.91787,1.86826,1.9227099,1.83761,1.79852,1.78607,1.68828,1.6115299,,,,,,,,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45208,,,,2.3268299,,,,2.6769199,,,,2.72858,,,,2.96662,,,,,,,,,,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.56513,.64102,.64925998,.75275999,.89766997,.94538999,1.06411,1.1274,1.2235,1.31793,1.37974,1.38432,1.4572999,1.67871,1.7272,1.7943799,1.9281,2.0146599,2.0460401,,,,,,,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1371601,2.1788001,2.2123001,2.3338301,2.39166,2.3855801,2.4154301,2.4566,2.42079,2.4225299,2.4560399,2.4463301,2.59712,2.72644,2.71367,2.79562,2.87167,2.8264699,2.86854,,,,,,,,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.21259999,.19756,.1991,.18651,.19247,,,,.26993999,.24141,.25903001,.25510001,.27024001,.43312001,.43345001,.53153998,.54102999,.67798001,.67868,,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.78948998,.77964002,.85101998,.84052002,.88494998,.89019001,.96004999,1.02219,1.0384901,1.09577,1.1721801,1.23448,1.31708,1.35137,1.34965,1.32513,1.28411,1.26173,1.23139,,,,,,,,
