countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.355091,22.52923,25.559858,23.849632,21.10202,21.204185,21.911961,21.371653,19.735609,24.95118,28.08082,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.759712,55.63131,63.307137,67.957474,68.429062,66.675415,66.48584,64.590126,64.213425,62.020718,60.670532,58.874149,43.43285,44.554504,50.097233,,,,,,,,,,66.106979,65.483597,63.76804,64.40332,66.207596,64.134796,75.298683,73.852814,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,2.8214025,2.0977638,1.8721461,1.7602534,2.191057,2.9346976,2.9568868,3.340112,3.2004492,3.1419017,2.9875548,3.0709648,2.8214271,2.3948352,2.5096133,2.1799533,62.851543,65.150604,66.160393,67.291451,66.544533,64.131081,66.149986,67.204208,70.764236,65.625679,66.024002,67.995247,68.674606,69.259911,70.357277,70.433968,69.645264,68.904678,69.286827,71.284668,69.248016,68.707581,67.319725,67.139038,67.778236,67.622917,67.540657,67.569122,67.244949,66.945831,70.073135,73.106552,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.847153,57.097244,59.206345,59.148396,58.855431,52.104843,56.982941,59.40583,58.953541,61.655796,70.620338,62.932835,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.17757,54.946239,56.969975,57.424057,56.859097,55.54113,55.217533,55.658642,55.318108,56.384682,55.125736,57.453049,58.378067,60.573429,61.291275,64.156349,63.422176,64.51432,65.017418,66.252167,67.390236,66.134682,67.233292,67.90432,68.951782,70.478996,71.433807,71.097443,70.889977,71.474884,80.037575,75.943085,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.111908,72.303535,72.66552,74.154289,73.518074,74.144135,74.867287,75.570915,75.176979,69.406807,67.64875,72.155022,67.940506,74.963036,74.53138,74.826904,74.577766,73.517235,73.123291,74.814117,74.613922,74.25486,75.388977,75.203362,75.229195,75.144478,74.697571,75.427933,75.502785,75.433411,77.841125,77.928421,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.198746,77.824997,77.641174,78.337608,79.643021,66.246445,80.245804,80.725189,80.212051,80.671349,80.098846,80.505074,80.708359,81.102997,81.235756,81.187286,81.071396,80.597374,79.687813,80.455627,77.922913,80.472763,80.599937,81.70195,82.232635,82.868286,82.936691,82.099739,82.850891,82.860374,83.903008,82.62394,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.639531,16.13229,12.27225,,10.697433,9.1962061,7.8974295,6.3004608,6.3424835,6.5918245,6.796207,,,,,23.751501,23.800093,25.525866,26.696907,42.521687,39.417854,45.764057,44.745964,41.57029,41.622662,41.37888,42.797283,41.703293,37.212696,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,5.6518207,4.4680748,4.1610808,4.2387834,3.8030188,68.573936,68.691391,69.608353,68.628441,69.255516,,,,,,,,,,,,,,,,,,71.682602,76.300407,76.737495,77.891602,78.537086,79.111336,79.080284,79.838959,82.743111,81.106873,
