countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71329996950.3063,78539648958.4752,84958535248.4684,102750490047.651,115984196514.636,139810327950.987,172367350932.607,207202731436.351,158522245827.093,151476538597.686,169551736746.086,156846944098.026,175245647270.252,190289734377.127,171335879972.771,173959205663.717,194803479128.659,211618507365.555,215044234526.889,190884966126.617,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,19376160455.8394,14985585096.2044,19434576526.3572,21399411627.8305,22272856090.9355,18504546348.9467,20416857848.8503,23757715275.0245,23591580209.0682,25465199608.0031,26309749588.8786,40565554072.2585,55867666353.7087,37081352154.0759,33780449868.8763,37911999742.409,40255409215.4809,51220430879.7718,58617235878.9538,61178949170.177,63800156037.9318,78812915074.4254,61061001542.5307,68035001718.7087,89524443087.2662,89049048325.9559,98492044685.2822,59781714319.5528,113470334123.038,158920813529.103,194086408742.176,195824084384.384,213955318800,211354437000,220510438000,238353211100,243786711100,237777915000,236219366100,223201711200,72446391952.72929,95225639004.8535,124228047654.606,149393165256.55,176044924181.393,217144640947.557,277344288863.729,262658658519.665,336350991663.692,423649649448.919,445242277160.302,457042608919.298,433334542562.24,499614480942.488,464849978689.813,543457307147.989,447541502349.172,369714687751.698,311065684471.896,373885266948.238,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,12787546197.7825,13635345503.4158,14141561205.0622,15076716317.6168,16347855302.9455,17877701870.3102,19250755963.7137,20926195542.614,23008175607.5708,24983760779.4826,27794825848.3593,30899316832.792,35904205607.4766,44064061499.0391,60453942520.2653,70707360371.4325,77390646665.82629,81827253957.3297,89659372885.17931,99836419402.47639,109674651810.585,130572390572.391,143210857332.009,137760411792.232,145382177141.822,133949528265.705,137417459429.211,143466781365.802,173289435389.988,215330184838.368,225245094267.026,245524684090.731,253602245635.623,240661888701.518,245287443791.076,279665874665.875,303641122913.505,326137110658.945,300675574849.081,297020929941.095,315572442378.949,290225931093.7,298960862285.475,355943506115.317,464480722720.159,523175462336.491,555920185684.337,633317107639.161,780498657117.278,671881166249.448,851522945476.9659,1013907128068.62,1120648587337.6,1157382784446.5,1079300468190.58,1015745070305.35,927364973067.4041,999947959876.3101,1072404464770.17,1033331426119.3,981520981364.7939,1132785282483.77,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Final consumption expenditure (current US$),NE.CON.TOTL.CD,12190115073.3641,11992000784.22,16282880590.4373,18604727521.4267,17115832349.3402,16951827614.4205,21453709339.9631,25416088594.8761,27673985821.9234,29061029039.4237,33810560993.4346,39662117473.8288,47073605517.5611,61826422206.6525,84615479016.3177,95414734766.2849,121044193603.271,138463998128.67,157057611873.94,178372038063.206,185449993606.238,203719488313.553,224137528863.971,164482455316.572,164368547550.243,140852853281.481,177042029423.729,183666999370.588,199920268185.022,241631776696.021,307084624224.811,272264826263.033,257897357609.88,286336787460.982,407177627034.213,651120367974.896,722081995423.3409,749355847965.759,727355502528.26,506474547733.128,546385188983.832,467318326523.664,416538741336.803,451730961624.695,526561260606.475,707903120604.666,880314768813.4969,1101153037183.5,1332412508288.8,1360406472841.85,1750302978171.9,2065310855571.5,1970720392862.63,1993273502620.47,2016692732596.68,1509203462532.69,1519715006129.52,1746887572914.71,1620034210958.45,1594674103080.24,1207660007759.16,1288179862802.17,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,32695764216.8386,33158772309.4787,35119813036.7838,37861761304.3632,41188960406.7964,45754406574.3441,50204501458.4514,55424954339.5673,61109333669.6542,68244808115.6092,77093483858.1897,87874532781.089,99246075392.4608,119651329243.354,134726700747.149,158085192697.769,163887165021.157,169085649162.795,183261055147.687,206358193636.675,227787138210.026,240958904109.589,262853781239.857,270304223612.076,278941047235.445,293987765383.231,331349924585.219,385039408466.726,432368243243.243,467679979430.922,497968927293.358,488271696864.4,472138593907.449,459690978324.546,469529291751.676,486733406674.001,502570417449.083,487672396359.96,512666756411.119,548458689650.529,551306172520.661,576498438794.3669,676776104489.33,761145272867.025,860849975243.4399,971873236953.4561,1086613909319.43,1152019681349.58,1093342664683.75,1269191182047.32,1381733360566.04,1409271248589.76,1415697606306.81,1373505262450.99,1224766888757.13,1215250129943.44,1297635013774.46,1354514980410.61,1368888367332.95,1313162204776.96,1515151125902.05,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,15470506288.5891,18488949418.2249,22693100044.5108,30815388650.1517,35980043970.0601,43273942587.0685,46356307809.2495,49980178489.7025,69141479306.4877,78533221266.6145,83374531837.4411,76307238570.4104,78566404964.78349,79602750702.6821,74503110184.2789,74946636685.52361,106920307965.979,133757842677.039,142521926467.573,136123974570.573,172408239994.241,179835158298.466,191616299957.332,186376119382.783,204053432770.344,240454284989.429,234973228964.401,204555963618.824,208819690991.861,206053236586.34,189384472406.442,194702284309.078,211709487360.452,249504642459.345,276149829513.47,281771765178.285,287538841122.986,311313220593.136,357987578247.623,362536478264.865,386224827382.823,459342508615.411,440948699169.27,454831876541.635,464880209723.926,447051728333.255,442788293244.127,451049864678.453,462460659247.013,459937961812.281,471710918596.497,496863762396.101,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Final consumption expenditure (current US$),NE.CON.TOTL.CD,37557592789.8286,40332255845.3164,40058893679.4216,41155114058.8187,43709858741.5712,46953130258.3475,50752657441.7093,51879776358.7619,51615143760.6629,55164796994.0694,59171978637.5823,63084030839.2233,73080922831.9451,87910466969.9407,92173551019.7838,101314233998.279,101329467384.362,110632311610.507,90797494361.7886,112129736113.043,123653222075,130087310746.032,136520728389.313,155601619157.088,170951622053.571,201386487316.327,195096310628.986,171379431058.296,194019938701.646,223556265977.733,229682896506.692,237380125684.669,254933925456.829,259495817793.874,328318755256.593,433840721667.645,518658048188.641,573581321680.861,622070287434.625,684528395139.099,770062753784.548,829531285840.451,896792033867.343,963332189033.4659,1080060319093.13,1243212055644.78,1446864352017.96,1810542998092.67,2286747160109.09,2554946777470.21,2977436481197.29,3787779094485.8,4363605388165.96,4949541062227.64,5502346484025.13,5972231003038.14,6182653587035.89,6754427210154.17,7650165414266.93,7999417219162.18,8126754869000.7,9628174910559.779,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,155151901886.389,182893689287.905,222287233637.981,296212521039.151,336320077091.679,388097696955.243,407871145720.056,472755534405.795,579499476144.109,691654437093.16,757521751667.743,646945276503.678,624505558152.656,618658235158.943,579148817950.656,579983084639.915,811753538683.239,1015447643090.32,1085720493373.43,1071809678560.28,1336584774240.41,1396386564525.63,1603824671258.61,1574441026854.37,1664963239725.2,1946233110413.54,1898487132830.78,1671082788179.56,1673661220406.8,1655953353217.38,1467683146045.49,1467378818473.62,1558309281902.75,1895970736945.49,2109650865543.63,2144100009936.19,2216475957607.06,2461242881105.5,2714576310182.81,2607310019466.01,2538596284966.67,2754119879513.62,2616569774212.5,2770026575795.3,2839476465356.07,2439682376398.83,2521046002002.73,2655523466630.59,2860905995316.86,2808335025309.8,2811532855120.63,3041225103434.06,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,4261904761.90476,4631772069.93309,4945157010.17249,5496261682.24299,6024213075.06053,7151469480.03014,7892629431.26753,8686918304.033091,9232945932.28904,8494494078.53729,10635686102.5866,11867527308.8381,12354148395.0184,12654032747.1195,15189857142.8571,18384677668.0556,17805810810.8108,22252586206.8965,24912689173.4575,27520963233.7132,31200921369.4901,32553788587.4649,34014139827.1799,29642248722.3169,32940933756.7121,35800807761.3279,31472249916.9159,34754611380.2546,39315726290.5162,44039145907.4733,51135358301.386,59050707547.1698,69410029498.5251,74645808736.7178,78590386316.7207,86922060766.1823,83719676549.8652,73528089887.6404,68807692307.69231,66509740259.7403,75524126455.9068,89043478260.8696,109211908931.699,135472727272.727,165408348457.35,187749546279.492,205352839931.153,256483333333.333,265720930232.558,289670014347.202,310229110512.129,314208588957.055,231528532608.696,234226223972.988,272853075170.843,342432938240.798,391809241555.131,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,30151687663.4181,34461485029.9401,43396632151.1778,57471587664.1919,72117980963.3689,85897568115.942,91365834369.5598,101538135815.991,122000588107.639,165366492315.32,183729853794.384,162952753649.306,157194891715.887,136777218097.448,134856245083.834,141661594911.937,194459622193.18,248254925212.236,289466999000.143,322396992269.852,416317249428.665,451367828662.93,503367360637.088,421359105765.46,421459673332.505,483097144382.172,500923420464.994,455631818181.818,473887960797.416,485042321863.708,456642356748.236,475988581827.953,533743272958.824,677917996944.312,806226579189.577,870093098782.879,946927431148.234,1110453129401.18,1244800364575,1156907858953.91,1119509393466.67,1172002659717.9,1053166970109.38,1069040725187.85,1083849393877.64,932692040271.875,953185263754.088,1011135822855.3,1092110121076.86,1062899626501.96,997875061799.224,1108696035705.41,
