countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10242340340.3676,11142485827.0933,12124060313.1382,12929750524.1661,14219278420.6944,15365627120.4901,17365487787.6106,23019664125.2553,25948399046.9707,29068775901.9741,34902893995.9156,36449312457.454,42851083185.8407,44070401007.4881,44511095983.6624,44725287978.2165,50945949625.5956,49902518720.2178,51225237413.2063,50499233955.0715,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,2981109248,1873293696,1851010048,2292941056,3093333504,2362424320,2598571520,2969714408.66378,3077105358.84717,3377999916.89886,3248124955.47887,6063222189.12736,9527777909.5819,6601594539.00068,4820215361.52499,5119039948.11081,6485598140.13071,7623189691.88905,,,,,,,,5238095279.67741,5454545411.94322,3444365653.36953,4432002300.89634,6302044992.13424,6807692307.69231,31984701701.7017,33948366600,34445834100,34023284500,35324694300,37352911200,38908460700,39175188600,38037449000,11956773588.4449,14593470488.4092,18301129726.4273,24130382300.7642,28905507926.1954,37348269040.9027,49293062930.4651,52956236298.6285,64237667185.0303,83177086713.2187,90881156804.3051,92774657769.3512,89210530677.4557,107639984288.54,98429812727.8394,113902282152.065,82948270261.6124,73625372107.61011,65123272712.1941,77193313128.5484,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,2064060928,2227572992,2384365568,2515399168,2705790208,3087691776,3496472064,3888453376,4449546240,4787770187.03102,5442938738.94053,6286258259.60354,7498831775.70093,9324791800.12812,12851879145.1732,16338932131.64,18782301777.3856,19263592567.1025,21131288066.7719,23421560831.5347,25819498607.2423,31504702194.3574,34421273309.0588,33065044454.8432,35447382720.5216,34767201043.1848,35446978175.7135,36698650079.4071,43592112922.0023,53328719159.6776,54941131204.3093,60736205949.2975,63464585095.7471,60479201798.7634,60729159460.3943,68605583605.5836,74556904400.60699,79564877132.57159,72975649460.761,72717759117.6839,76806506311.62469,70090157776.1082,72352971954.7928,85809551543.3896,112080665813.06,127411667418.433,136414345612.459,154696553348.512,190247985675.918,170436607274.334,215429401920.197,259842255742.877,291073417199.423,295898225094.901,274271550537.042,257946584574.424,239729218226.816,262936873067.35,284167893961.708,282072664854.813,288495776913.795,346275095156.355,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,2138974592,2231397888,2326350848,2966120448,2484615168,2369143296,3017566464,3529668096,3771368192,4051070562.89625,4793453718.79043,5423630148.39019,6294656311.57992,8281010087.40018,10243651651.0189,13159614701.0133,16062972517.3168,16622737159.8975,19388031460.2157,21913453012.1884,21617804789.319,24559797774.6854,28184385846.1171,19640729543.5582,17317201192.8317,18376555266.2963,24090338238.9831,30016235351.7647,34921937379.7357,53786367875.8969,75374568289.3905,61326518202.2875,55998762943.7127,65055851117.6861,93861088287.2204,161005501301.816,167966249427.918,172536984232.329,173351390525.101,118625337428.189,123013504902.94,108320761746.68,100987442918.778,106496057644.192,123602389046.528,168428953212.29,210882714660.047,264649515279.133,319483052513.906,327580029758.928,420057981014.097,488425394488.283,456802006912.088,467174528175.873,470409689630.259,356420691845.261,365951078366.225,416042489127.029,381378291148.941,374347318925.086,296654473890.441,307244857444.758,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,6735981056,6910767616,7393547264,8102109184,8918507520,10479737856,12097805312,13756235776,15595645055.7667,18668772131.3044,21237868884.9277,24107485604.6065,27107289271.0729,33669734151.3292,39178136059.7719,45997971602.4341,48112834978.8434,48521083545.1915,52172613966.1943,59045501197.3999,65756943865.2098,72209613358.1908,77491885751.37939,78603968805.4977,80760161113.1454,83733717164.4476,93147812971.34241,107588364345.494,121206081081.081,134821734658.896,147109190887.667,145295772317.366,138313309045.81,131519478617.458,131242349169.338,130917491749.175,130036833742.597,125764071452.646,131074241098.472,142299508450.609,144170325413.223,150446695979.099,178178573977.589,199357417371.253,223781152005.281,253942172073.343,282755795549.763,306240862230.553,301930714723.121,347331886872.437,379214461589.188,385014582980.598,382325710984.663,365963384878.333,324965188724.922,321612947451.906,341452931752.066,356824339257.404,362923883666.842,372718938233.278,431421935504.555,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,,,,,,,,,1930925680.311,2415456832.53102,2955179221.32328,4103874178.46309,4894626925.78794,6086386316.97207,6642502400.38406,6983862700.22883,9693546420.581659,10963681361.6407,11496246941.5767,10705827817.9411,11249975373.0976,11528823305.226,10789691024.3861,11058663058.0766,16074291511.4792,20029682805.794,22073666370.5324,22189969435.7846,28901742009.7898,30814717573.2218,33110945100.2702,32232725365.4575,35733760327.5572,41663538266.3848,40458185275.0809,34284108041.0666,34394927576.2174,33814618559.4461,31160204879.2042,31993423204.5508,35702346336.4558,42489126011.7324,46510204262.1632,47049734982.3322,47443775721.8057,51156824391.8694,59964167666.8821,63095060196.6731,66973176610.6931,80720477997.4407,77667949612.3326,80599621374.5016,83418429992.0813,80084350929.605,79210899164.71201,80013385577.54961,81734741022.276,81910768534.12489,89823115008.743,97140262352.7856,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,7429231616,7157343232,5990325760,6863132672,7573698048,8302549504,9274876928,7948506624,7882915328,9356851588.268749,10150937123.2432,11820727565.1962,13653725825.1303,15903831803.5589,17372408861.9213,19127977411.5496,19507071175.4404,21936004150.07,19289364280.4878,24566074182.6087,26283097900,25820206821.4286,27088696549.6183,32194058570.8812,39182080696.4286,43990470139.4558,41660959617.3913,35783016634.5292,39037565113.1687,45864562350.2024,49280637183.5564,53678527493.0314,61649459624.8038,63831126110.4808,79520323669.46291,97754459189.05,113999256334.945,132245900546.455,153800891215.229,179040211821.268,203971792928.585,219840903976.03,236323628633.563,254259974356.651,285976192735.115,338269518582.429,407880128490.983,519300179747.617,665513600623.1379,752653036610.358,887935846990.532,1150762904737.29,1344344845037.47,1520164847101.26,1656943445134.62,1793950153875.55,1838185914067.27,2009657368066.82,2297620399643.29,2394818476696.49,2516018432645.49,2823253217553.11,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,,,,,,,,,35081779511.5695,43379490882.7302,53091518738.8824,73273110135.3824,88265367697.0751,102731107401.224,106064565014.758,122316889581.403,151726385589.094,179812896169.032,198468287066.925,171523763738.641,164005706456.033,160798861738.797,149830837743.11,150847294047.303,214224894172.746,268625227421.11,286460315179.864,272534004993.238,338394845660.332,349061873895.109,409711959924.859,400838755471.43,425888875497.168,502268322642.282,492270600467.897,428127678772.84,427605868622.874,422454599962.163,370983758114.511,368706494498.819,399725217697.648,483457951607.842,529587679586.488,534524629615.564,548862424927.058,611638866989.806,683718919290.625,681969101698.828,665084211616.668,714991735214.009,679923013042.969,732980377134.9041,761835417268.625,661167607626.562,690542613848.64,732280802530.589,790232167371.764,787165218415.6851,854360405101.948,943230666325.566,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,,,,942114432,1040146752,1080053120,1314018688,1560774818.40194,1793268023.10977,2094873756.69472,2394260599.79317,2462102071.75341,2321421151.04924,2946295484.43665,3120953326.71301,2976319943.8695,2790479078.22923,2920142857.14286,3395569575,3838243243.24324,4413916256.15763,4889406286.37951,5267684368.95291,5967961470.00314,6080449017.77362,5813040062.84368,4883589153.88984,5008260894.25857,4890085240.01795,4154204054.50316,4363133030.42157,4801920768.30732,5338078291.81495,6340312592.15571,7016509433.96226,8879056047.197639,9592680047.2255,10527867885.5795,11184500220.1673,10943396226.4151,10719101123.5955,10173076923.0769,10048701298.7013,11414309484.193,13200000000,14781085814.3608,17727272727.2727,21470054446.461,24446460980.0363,27022375215.1463,31200000000,32744186046.5116,36212338593.9742,38733153638.814,37987730061.3497,23790760869.5652,20855374226.224,23217539863.3257,28939488459.1391,32096876991.7145,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,,,,,,,,,,,4046004278.58331,4681686227.54491,5869166450.94486,7794805825.24272,10038214594.7505,12508959420.2899,13951740860.4825,15876976998.9047,19960188802.0833,27794903321.765,31668530981.6663,29490522616.6877,28842432227.7753,25907525522.0418,25673200165.5972,27455210371.82,37674950695.022,49364952162.7813,57684636480.5028,65677402670.4146,87184722494.28661,97661945556.4451,112339151633.35,96326090992.28661,94237853682.77229,108255938083.8,112370944437.147,100352272727.273,104385789063.37,106604289198.842,99913634715.2943,103872425717.717,117826050785.883,152246270661.568,183545250228.572,199957653117.51,218809440180,260981503485.883,307167279648.437,307835454419.922,293422195550.001,306088176206.226,264649764153.516,269848351325.883,269862349819.999,233460373906.641,235618717308.561,245096757728.236,266063146286.274,262995907639.215,281375442655.254,305905136538.755,
