countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247802287.2703,24758811082.369,27517552893.1246,29533120000,36424851681.4159,42802745377.808,64992757985.0238,79178107855.6841,80206027365.55479,78593555316.5419,81219427147.7195,81978431095.9837,75126823335.6024,89369188618.1076,91822890156.56911,92902151858.4071,97541306140.23151,99269102573.179,93724842260.0408,79632485146.35809,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,5313345058.38326,3338843016.44164,5498448879.20396,6357058745.58187,5881428621.0885,5146060702.23671,5734285805.39451,7498571825.73388,7719211096.5115,8027999890.81471,8298250320.65817,10978444355.8423,16124666971.2541,15438486959.3817,15724100557.7079,17569000350.9751,16147130587.0569,17906415044.1579,19438878223.106,17852632104.7179,18341049876.2973,21718898273.9138,15790000398.889,15551667059.5348,19371110817.4477,21726666839.1419,23524999816.2601,11889983497.8928,19785065005.7631,27769271211.3267,38213203210.1757,46609970270.2703,51399500500,47736933000,53406319800,60990966300,62691747400,50645509000,49830828800,41986461000,10606870818.4831,18049680786.0707,28899558549.9966,37537987445.4148,43442829424.3763,57791082382.3567,70766944271.4722,53453089198.9967,75005496430.93871,97541873555.38789,90097938093.7597,95532250251.422,90857938989.90829,101527895313.53,98478037375.8317,117221303024.265,87192948627.86971,63626066083.8791,54479129469.8551,85139213746.18781,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,5874118042.33397,6522566916.78799,5662448202.48628,6639041326.01635,7304289394.10908,8710941874.79001,8905812520.998989,10021278978.609,10790682047.2617,12337327808.2652,13628625825.9604,14512263411.3563,15834112149.5327,18120435618.1935,27195283714.0752,26083572306.4318,27765032144.2077,29755677907.777,30592149785.6982,37570146540.952,40626183844.0111,50727969348.659,57890323292.508,44852597098.7365,51535953631.5885,50582956201.5801,51966284275.3218,51833642138.6977,66049912689.1735,88793257878.023,90133897652.94341,78951416686.28841,72740905944.782,73669898819.5616,78349360083.0163,95700920700.9207,99487101669.19569,108276725622.163,102492708403.988,101877428249.154,109246373170.885,88805946119.9957,96603181247.3838,121316249271.986,166346564233.888,191020147346.264,205849056603.774,235140928005.025,302065353625.783,254140774554.557,307672861798.644,370061125899.635,428842029284.389,439544475223.146,392339116864.041,354953823113.404,306658174406.755,319788068481.786,350779784512.828,324419968530.968,295181659739.911,353422643480.857,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,2984287125.54907,3254003977.98811,3906482215.26138,4433909873.4278,3945920611.76361,4363220210.12389,5383556739.78939,5175745046.02096,6408490804.50458,8372887332.97774,8694949202.08942,10390955066.7027,12393184513.7359,18427695392.8517,26692655164.1699,33202202646.7511,35293372834.9106,38879499001.1146,46130434386.0675,51213073778.9867,54869959137.338,60840759336.8964,59417401686.2414,33915348956.0437,32901534612.5158,35751517967.037,43091187557.6271,55041471593.5294,63006784312.7753,93360241356.8167,78800407097.4007,67729627065.9361,62140880537.2798,76776246143.5686,116346111133.374,133035784048.927,146842676151.627,156892667192.638,156890961779.756,104275116884.583,123900152764.993,104952779877.426,88953455519.79179,94098958635.25591,119887704351.988,153403932919.816,197342443433.09,276892701710.236,366626805049.624,313335290287.086,481563211175.534,571019249641.3199,527975014489.785,536444970548.676,504667658563.536,313794824100.514,268808180162.117,301800150404.211,289363949750.944,290672075345.418,230764615048.883,304415271596.47,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,9285664160.4867,9818791631.131491,10393061338.789,11876418098.5575,14437147605.0308,16599570980.4633,16072003873.7199,16914546339.3328,19202712607.5202,19511915015.791,23005545652.6045,26240024244.8732,32054794520.5479,41607361963.1902,43317931576.8777,52059837728.1947,51569346497.4142,51540282282.8088,61318080928.8031,65294218268.9018,77721244474.1013,62690281267.7312,69130152547.8741,74769515867.5006,78853167337.97141,82169845268.082,96059577677.2247,119735110099.943,133918918918.919,126989201234.145,118470803875.36,109233060312.733,106980079063.638,113182483889.865,117437336053.629,119359735973.597,138975155279.503,133427030670.711,140324426196.406,153531075348.461,145368026859.504,150147199388.262,183287417029.477,219535741737.125,265498432084.502,311292313117.066,351163765012.569,373843486410.497,301860729594.961,379784645544.806,433114446678.52,454669831923.766,459944485737.643,449102772443.181,370785201353.99,347788719236.146,388409798045.735,399475393838.55,400360007028.521,366223033493.697,472033577615.218,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,10116533729.705,12240403734.9718,14692347550.5983,19473066544.4894,22383922733.528,18870220818.9672,17813658185.3097,19029415019.7628,27855942393.736,34426813014.9756,41814977621.2926,35248163119.8452,35779234595.8725,36153968367.3956,31825810103.4175,33132352773.5949,50791723831.2302,62760935488.1974,70116175083.7149,69228353200.07339,92803667578.4624,85276750348.675,81078131133.55141,75088693151.0558,85345483658.6971,99018769556.02541,93896788025.89,76910806173.77521,83187538970.8925,80664992677.40649,76042228209.37939,79369463735.4823,81083182984.7299,94083104626.12309,99154412545.2352,113728388210.729,123299692933.482,131463620459.847,155499589142.277,157074966455.289,155075822689.836,203973842727.246,183001202995.477,177652932064.234,185653630484.086,174049186248.595,175839345151.53,181060290276.99,186721142263.051,190714072098.815,220490053168.355,208566031651.947,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,23638552181.3307,11415600751.4827,7429488175.31887,11034744345.6008,14537455203.5096,19089236587.0501,23364741201.5598,17391448452.3519,17665853863.0271,19933437102.9328,30438112787.3913,33570874888.2931,35525455373.9254,45658686850.3066,47877399566.5919,57259418523.4972,51138650741.7328,59267208456.2386,56233026138.2114,64710334643.4783,66147553729.1667,64535523825.3968,65587896076.3359,73648734593.86971,89365467310.71429,120898734132.653,113467013495.652,101875915735.426,122062518395.062,129399924939.271,123261300353.728,135086802707.317,166803943772.371,192493706988.892,226013641335.7,285281654509.203,324265378237.233,341590049606.746,358247795046.563,373159283362.526,406685829690.52,476042624879.487,531654468006.524,657808260134.1071,818257918295.718,922299217521.936,1098385112130.33,1437256498446.27,1941968871515.54,2313940477177.45,2833949430554.04,3523539102531.92,3944045972667.65,4440567940537.14,4800371992546.47,4782441087258.13,4788900462234.93,5295112992118.42,6085023473718.26,6176230854190.55,6369555703686.53,7596483175686.15,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,70588334313.0444,79519102213.79581,91711885542.53819,116636347603.366,117804754742.65,119825548930.758,132856531769.458,151303791796.513,188802897760.467,241742802262.299,258531939961.265,196965207269.58,179785379221.407,184495719647.645,171865074565.322,169327688014.882,242057206160.497,292654306855.277,326139596837.064,339236910433.788,439876114271.88,481671184443.135,538435817157.17,495844079025.198,536504760756.9,629039170192.439,580916298414.349,517064064967.291,537815938646.215,526862323901.932,476999700941.177,446762399084.646,431834064694.118,511255087084.705,558341725537.067,554714970645.9139,616031939590.587,732386205112.943,803216330371.094,633009449126.171,682170048016.668,811173059280.157,695411140482.422,748767716267.061,792219558706.6639,662886243094.14,692840544710.897,773685877010.59,871181875200.7841,860096743780.391,859227302722.181,992152353771.302,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,835517693.315858,865314051.370602,788589119.85847,771962616.82243,701210653.753027,1174328058.27681,1107625605.71283,1046535677.35264,1332743810.00505,1743195512.15458,3017974572.5559,2880039721.94638,3455007893.35204,4236203759.85446,5800285714.28572,5959224748.75,7105405405.40541,8006157635.46798,9545983701.97905,10320361212.6424,11621819704.743,12160898035.5472,10526315789.4737,11584327086.8825,12598099442.3792,12427097711.9785,8873379860.418739,8154545180.99479,9243697478.9916,10705812574.14,12120318490.1209,12264150943.3962,13775811209.4395,18240850059.0319,19610734296.6676,19521503008.9535,17654986522.9111,15325842696.6292,13557692307.6923,13344155844.1558,16106489184.6922,20121739130.4348,27197898423.8179,36454545454.5455,36297640653.3575,42704174228.6751,40361445783.1325,44733333333.3333,40992248062.0155,41692969870.8752,47061994609.1644,50000000000,36005434782.6087,41592571750.1407,55199316628.7016,50380536494.0736,49426386233.2696,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,11625084383.1709,12154380838.3234,16150315816.7228,22567975442.6042,30977167580.0404,34557182608.6957,33677162397.4136,34920376779.8467,38819118923.6111,50567850768.468,56730194940.8215,46051295728.9602,44262068756.6258,37145003480.2784,35446399296.212,37640123287.6712,54608100273.2565,73823410591.5645,95351232681.04559,110639603654.252,143991625857.003,150161197758.207,151835611896.636,112699487514.708,114874426779.282,138402722177.742,142825430185.21,133422727272.727,148160151464.528,162140834121.236,159406289835.294,166117782253.544,189126091982.745,249591671689.803,302386433654.441,339044457388.327,385245342232.941,448719178643.923,464339562816.406,347563042142.187,317173735350.001,304609919727.627,244225478636.719,233297214768.628,245476389423.136,227119507736.719,231212136016.343,254779255091.765,290990734079.215,290428630501.96,260485818018.678,297485208271.313,
