countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61087656609.9387,67397163131.3819,72834474935.3302,89820739523.4854,101764918093.941,124444700830.497,155001863144.997,184183067283.867,132573846752.893,122407762722.941,134648842777.4,120397631640.572,132394564084.411,146219333369.639,126824783989.108,129233917685.5,143857529503.063,161715988645.337,163818997113.683,140385732171.545,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,16395100920.6536,13112305455.0693,17583550655.2055,19106470077.1627,19179524090.076,16142121567.5792,17818286029.1255,20788000652.075,20514474652.8526,22087199393.1043,23061625752.1497,34502333869.7978,46339887781.9045,30479729907.7781,28960251673.5518,32792999467.2985,33769836089.7761,43597131261.72,,,,,,,,83810953046.2784,93037499273.339,56337114317.025,109038330772.079,152618772836.917,187278415202.907,163839382682.683,180006952200,176908603000,186487153500,203028516700,206433800000,198869454200,197044177500,185164262200,60489618364.2844,80632168516.4444,105926917928.179,125262782955.786,147139416222.713,179796371906.655,228051225933.264,209702422221.036,272113324478.662,340472562735.7,354361120355.997,364267951166.433,344124011884.784,391974496653.948,366420165961.974,429555024995.925,364593232087.56,296089315646.165,245942411759.702,296691953819.69,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,10724605218.9495,11406652480.6809,11757195654.6086,12560197110.5387,13642065180.8713,14790010079.5162,15755403740.6204,17037742188.375,18558629185.7991,20195990592.4516,22351887109.4187,24613058573.1885,28405373831.7757,34739269698.911,47602063375.0921,54368428239.7924,58608344888.4407,62563661390.2271,68526956914.0537,76415994547.3134,83855153203.34261,99067688378.0332,108789584022.95,104695367337.389,109934794421.3,99182327222.52049,101971180749.86,106768131286.395,129698050058.207,162001465678.691,170304732589.457,184788478141.433,190137660539.875,180183389544.688,184558284330.681,211060291060.291,229084218512.898,246572233526.373,227699925388.32,224303170823.411,238765936067.324,220135773317.591,226607890330.682,270133954571.928,352400056907.099,395763794918.057,419505840071.878,478620554290.649,590250671441.361,501444558975.114,636093543556.769,754064872325.7419,829575170138.173,861484559351.595,805028917653.5389,757798485730.926,687635754840.588,737011086808.96,788236570808.464,751258761264.483,693025204450.999,786510187327.412,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,10051138972.4315,9760602842.816031,13956529618.205,15638607058.8764,14631217231.9027,14582684401.451,18436142915.7175,21886420484.8801,23902617597.0186,25009958476.5274,29017107274.6442,34238487325.4386,40778949205.9812,53545412119.2523,74371827324.778,82255120099.12621,104981221085.954,121841260949.32,137669580413.724,156458585051.017,163832188816.919,179159690538.868,195953143011.723,144841725772.537,147051346357.412,122476298014.815,152951691191.525,153650764017.647,164998330810.573,187845408822.57,231710055938.804,210938308060.745,201898594666.168,221280938955.857,313316538746.993,490114866564.108,554115745995.423,576818863733.4301,554004112003.1591,387849210360.068,423371684080.892,358997564776.983,315551298418.025,345234903980.504,402958871559.947,539474167392.376,669432054199.421,836503521904.371,1012929455774.89,1032826443082.92,1330244997157.8,1576885461083.21,1513918385950.54,1526098974398.22,1546283042966.43,1152782770687.43,1153763927734.65,1330845083756.35,1238655919809.51,1220326784155.15,911005533868.715,980935005357.408,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,25959783326.9523,26248004729.1911,27726265787.6534,29759652189.3519,32270452595.0142,35274668478.4189,38106696154.6478,41668718079.3977,45513688613.8875,49576035984.3047,55855614973.262,63767047176.4825,72138786121.38789,85981595092.02451,95548564687.37711,112087221095.335,115774330042.313,120564565617.603,131088441181.492,147312692439.275,162030194344.816,168749290751.398,185361895488.478,191700254806.579,198180886122.3,210254048218.784,238202111613.876,277451044121.232,311162162162.162,332858244772.026,350859736405.691,342975924547.034,333825284861.639,328171499707.089,338286942582.338,355815914924.826,372533583706.486,361908324907.314,381592515312.647,406159181199.919,407135847107.438,426051742815.268,498597530511.741,561787855495.772,637068823238.158,717931064880.113,803858113769.668,845778819119.025,791411949960.6331,921859295174.8831,1002518898976.86,1024256665609.16,1033371895322.15,1007541877572.65,899801700032.213,893637182491.538,956182082022.399,997690641153.21,1005964483666.1,940443266543.686,1083729190397.5,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,,,,,,13590456437.2284,16107180870.3645,19781664441.128,26748029259.3529,31102156546.8399,37157501646.4572,39650773323.7318,42973108799.6672,59407723154.3624,67535584892.0431,71878284895.8644,65601410752.4692,67316430084.224,68073927397.4561,63713419585.479,63887973627.447,90846017010.3952,113728159871.245,120448260097.041,113934005134.788,143506497984.451,149020440725.244,158505354857.062,154143394017.325,168319672442.787,198790746723.044,194515043689.32,170271856266.795,174424763415.644,172238618692.584,158224266935.102,162708861104.527,176007141023.996,207015517190.169,229639625251.307,234722030195.952,240095065401.18,260156396201.266,298023411504.016,299441418068.192,319251649813.27,378622030617.971,363280749556.938,374232255167.134,381461778640.321,366967377403.65,363577395094.237,371036479100.903,380725918224.737,378027193278.157,381887803587.754,399723501137.592,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,30128361361.6053,33174912665.5293,34068567714.6803,34291981476.9681,36136160532.9434,38650580875.7819,41477780485.8234,43931269802.5835,43732228450.7271,45807945405.8006,49021041514.3391,51263303274.0271,59427197006.8148,72006635166.38181,74801142157.8625,82186256586.7298,81822396208.9214,88696307460.4371,71508130081.3008,87563661930.4348,97370124175,104267103924.603,109432031839.695,123407560586.207,131769541357.143,157396017176.871,153435351014.493,135596414426.009,154982373588.477,177691703627.53,180402259323.136,183701598191.638,193284465832.025,195664691683.393,248798431587.13,336086262478.595,404658791853.696,441335421134.406,468269396218.188,505488183316.623,566090960854.755,609690381865.629,660468405232.572,709072214676.8149,794084126358.0129,904942537062.348,1038984223526.98,1291242818345.05,1621233559484.51,1802293740859.85,2089500634206.76,2637016189748.51,3019260543128.5,3429376215126.38,3845403038890.52,4178280849162.59,4344467672968.62,4744769842087.35,5352545014623.64,5604598742465.69,5610737885462.55,6804921693285.78,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,,,,,,119935830705.926,139425196007.361,169100153346.01,222898488108.306,248181794271.03,285543253835.758,301927197452.229,350557213846.543,427979741966.894,512044440294.526,559328102001.291,475725402855.907,460739516402.031,458039598621.218,429462775754.244,429308194924.263,597875922723.588,747278898803.047,799722421205.0341,799380993446.375,998271137876.77,1047324690630.52,1194112711333.75,1173602271382.94,1239074364228.03,1443964787771.26,1406216532362.88,1242955109406.72,1246055351783.93,1233498753255.22,1096699387930.98,1098672323974.8,1158584064205.1,1412512785337.64,1580063185957.15,1609575380320.62,1667613532680,1849604014115.69,2030857390892.19,1925340917767.19,1873512073350,2039128144299.61,1936646761169.53,2037046198660.4,2077641048087.44,1778514768772.26,1830503388154.09,1923242664100,2070673827945.1,2021169806894.11,1957172450018.68,2097994437108.49,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,3319790301.44168,3591625296.78394,3865103936.31137,4182242990.65421,4462953995.15738,5358201456.92037,5797755674.57281,6292657704.23992,6770843860.53562,6173072927.48805,7689390618.14993,8746573982.12513,9377828451.14892,9863553668.89024,12269714285.7143,14989108093.0556,13967567567.5676,17838669950.7389,20023282887.078,22253278864.7603,25232959899.487,26473339569.6913,28201098350.3535,24758659852.3566,27932672862.4535,30910722296.9942,27318045862.4128,30391478349.833,34513805522.2089,38701067615.6584,44795045709.2303,52034198113.2076,60530973451.3274,65053128689.4923,68062518431.1413,75737560546.015,72776280323.4501,62808988764.0449,58634615384.6154,56461038961.039,64109816971.7138,75843478260.8696,94430823117.338,117745454545.455,143938294010.889,163303085299.456,178330464716.007,225283333333.333,232976744186.047,253457675753.228,271495956873.315,276220858895.706,207737771739.13,213370849746.764,249635535307.517,313493449781.659,359712364563.416,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,,,,,,26230760637.0335,29920107784.4311,37705371472.9485,49911367789.8344,62362281511.3931,73699597101.4493,77715050982.3427,85978462212.4863,102380874565.972,137998953891.919,152499825945.695,133786395746.981,128646992276.238,111088529002.32,109392830676.878,114404311154.599,157056963288.583,199179101199.299,232113730895.586,257022645115.952,329414312765.263,353866640512.41,391049392166.423,324945117008.759,327231321574.96,374841206298.372,388552476027.847,355279545454.545,369502171734.046,378438032664.866,356728722032.942,372116156110.237,415917222172.942,525671726282.744,622681328961.005,670135445665.369,728117990968.234,849471625915.297,937633084926.562,849072404533.984,826087197916.668,865914483511.675,788517205955.859,799192373861.963,813987044057.644,699231666365.234,717566546445.527,766039065127.0601,826046974790.588,799903718862.744,716499619143.9709,802790899166.6541,
FRA,France,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,35611510587.557,38764370887.6829,43376076788.1198,48723848683.6135,53108357318.4282,56626593338.1219,61065576171.1267,66022728206.4278,72340406557.50169,78391071011.3515,80562182591.2366,90112465964.2477,110230169050.715,141551266941.662,154058919803.601,196848707358.115,203258672493.854,223281626103.236,274087209302.326,333283996299.722,383908723998.758,345938442969.221,330196626409.821,314432395214.734,297771522930.271,313161045408.089,432472772042.807,529574375204.627,566671071467.9,566736582356.5699,700662570774.605,698822229973.259,772365551425.031,732410238591.615,766717863894.14,875966618478.118,885145531478.395,786507080242.751,811048476762.286,800523873976.063,735497610323.139,745599042879.528,810357628318.825,1000562269080.39,1145724838459.85,1195025840211.67,1258575848340,1439813264175.69,1596016770512.5,1495682377055.86,1464262012633.34,1575334221848.25,1468474908292.97,1536288588800.4,1551065849210.58,1318289931253.91,1341911926533.86,1400976370362.36,1503816844193.72,1462924811513.72,1406792690764.21,1557795541585.25,
GBR,United Kingdom,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,54277883934.7687,57087042335.4804,60465185405.1788,64383051196.7731,68723591081.9006,73057628529.89661,77212842096.78259,80054607741.15891,74905289647.0415,79498039094.1165,86521768658.50729,98371484546.1183,114318126873.127,128367726604.606,141394908835.905,164615367256.637,155533123090.746,172401517530.089,218359578139.981,286134534095.722,364422372763.188,350754186093.248,334258777078.966,318420671517.356,300665677041.766,317721102412.731,402704350630.314,494196406275.535,607950951618.641,613569019960.733,727215543323.864,767548966490.3,804883055458.056,734344095680.864,788751339149.066,857257377307.874,910141965678.627,1026015062213.49,1095738655183.84,1123750202232.65,1103260705099.11,1093256081761.91,1178214928057.55,1344775510204.08,1580241669718.05,1644790909090.91,1729251149954,1971678671468.59,1873117647058.82,1556080386353.01,1592419484753.46,1710689220860.29,1744704610306.46,1809531555498.52,1979836010596.59,1889512707381.44,1751623862497.7,1730658305725.88,1869750977876.1,1838087929322.93,1619081647899.83,1892689243310.87,
IDN,Indonesia,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,,,,,,,,5254608071.41741,6258690915.98955,7239263803.68098,7375342465.75342,7199938750.71126,8196626506.0241,11543855421.6867,17490602409.6386,21071084337.3494,25213975903.6145,30020240963.8554,34350187579.2688,31319134716.4297,43864974606.55,56287196799.5348,63001271622.7083,49204077512.7864,52503170825.473,51505881846.52,51143647862.8542,47066460533.7602,53225545825.1211,56627457081.4724,67388496942.731,74896533640.4556,80452086781.7451,92452872768.297,105574129353.234,124466951682.516,141781326047.048,133076708201.634,64694378233.3777,103522314704.65,101736066245.604,101322506471.589,132310082252.202,159969308158.549,171486082504.397,183992161275.142,228472902350.893,274642139809.649,309306990309.531,316748382750.137,424492611565.909,494913452511.041,517579926062.883,518582560789.161,509003681558.145,494560912117.7,538874867213.157,581701454037.397,593885230574.967,648299752756.656,624136089189.234,660028076540.1219,
IND,India,SAS,South Asia,SAS,South Asia (excluding high income),LMC,Lower middle income,IBD,IBRD,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,32358165148.3652,33836023965.224,35635242686.7427,39562974846.1749,46575365343.6653,49161081818.5636,38949364380,43321513636,43341665520,46884618708,49741148332,54069113093.9583,57365606333.273,67990265015.8972,81211038250.4138,76547436985.4624,77047638594.5873,92617399093.7226,105101619700.958,115962802659.601,145047089081.188,147328471879.41,150831145186.585,164885644408.026,158279833571.693,169684647261.673,182155960114.183,199368387446.505,207966799360.351,201816189948.627,215297110744.63,181019397632.818,189480726514.787,182803595642.179,212208237179.793,229501264343.05,253635550615.761,265788701528.326,268859043247.857,293688593291.211,298550160714.012,311395155490.464,324563570180.205,373757895518.198,413799135578.811,470724540132.268,527579310268.622,678457900632.627,679495842899.882,750918246258.197,916978109046.5341,1024685657804.95,1031901767083.08,1070321691055.98,1185298233319.6,1241269974014.98,1360706916267.59,1557081456384.23,1602521697169.31,1726040714505.55,1621119894267.43,1891901572301.58,
