countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335766784,4010347174.94894,4233083730.42886,5875833856,5797957632,5354118656,5834717696,6816882232.81144,6604220558.20286,7165418652.14432,8460993873.38325,11571681415.9292,13836351259.3601,17504697072.8387,19181756296.8005,19024098025.8679,23561061946.9027,22755071477.1954,,,,,,,,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Military expenditure (current USD),MS.MIL.XPND.CD,0,0,305162400,242219776,245740496,252407600,279225440,251930720,337142848,442857152,445713888,519719488,766000000,1294000000,1626000000,798359552,2050248960,2058224000,3103990016,5057062912,6477388800,5882767360,2279872768,2848053248,2527749888,2027221248,2449545728,2485659648,2696341760,1440922240,2050907648,2858778880,3254455296,3368550452.17659,3754724686.88939,3801950464,3379138769.76541,3340670208,3398699349.67484,3461730865.43272,3266633216,3183591680,1114172544,1374873728,1465809188.24616,1699579151.82907,1847553129.83947,2296448241.88781,2788980204.56974,2981852290.09382,3475348407.46349,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,5459643672.45401,3842852365.3176,3132654926.06745,2830929705.21542,2591642984.94895,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,459760064,470960064,489440064,553280064,655760128,787360128,986720128,1197840128,1321600256,1314880256,1277360256,1331754752,1484443776,1855729280,2127274752,2268707584,2441083904,2500485120,2816316160,3100685056,3657867264,4323643904,4459544576,4511671296,4925319680,4386859520,4606710272,5057135616,5836347904,6300015616,6704213504,7023508992,6882091520,6733829289.52236,7459696581.9777,7665878528,8202776516.98934,7936884736,7107542890.88659,7770250653.24688,7273760256,7043145728,7946766336,9926649856,11995219709.5054,13237798498.6292,14239779513.0914,17186440961.6173,18633092318.2741,18960138513.0129,23217692815.7335,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24046205860.2554,26382947050.0183,27691112416.8515,26839820914.4018,26079346314.3255,27300894700.6194,31753716216.2162,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Military expenditure (current USD),MS.MIL.XPND.CD,382729760,342339712,387449024,441999616,354227872,632869056,718216576,746139136,755307584,816622784,1026234368,1075071488,1195501440,1512670976,1790114176,2141126656,2576476928,2499644672,2690622976,2829161216,2259307520,2517859840,3031329024,2082669312,2013151744,2687049984,2758186496,4323674624,5874167808,8761487360,9236296704,6694665216,4993804288,7099899155.09737,10591499118.3781,14318919680,14073226544.6224,13934266368,14357357046.8411,9866973918.50843,11344032768,10930231296,9664562176,8392905728,9780111585.165739,13588619736.3611,16404867307.489,20485758014.6477,24452903035.8224,25648809910.8246,34002944470.0238,36936209895.8053,33987005074.0629,32874787230.5887,32660239369.4525,24617701683.0655,24224746901.4667,29261833096.6693,28177406872.2637,25906871196.7546,19591209004.4634,19187122475.4493,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,1702442752,1677820928,1671313792,1610091648,1657457280,1574704512,1614422784,1775500416,1797265792,1770108800,1889157888,2077659648,2233736960,2363060992,2809465600,3180915456,3581805824,3752174592,3969158400,4084145664,4744402432,5141128192,6017321472,6947104256,7349795840,7460563456,7780136960,8694447104,9897335808,10747134976,11414631424,11338503168,10788803584,10268822622.0283,9577377639.787939,9176903680,8615884471.238831,7945140224,7748607984.03732,8210778539.84237,8299385344,8375571456,8495399424,9958245376,11336489831.0556,12988132963.6232,14809892802.9902,17417139931.1051,19342058404.5584,18936226051.964,19315688825.0369,21393720863.7223,20452107110.9741,18515731209.9437,17853640477.6849,17937641894.7407,17782775543.0736,22269696323.3229,22729327580.3404,22394875659.3821,23281319910.5145,26449162679.4258,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,200093760,237368368,273728256,294995360,329525824,343475232,378234368,383265312,373889472,409105984,436090048,511387680,601427008,764969984,888478656,1032046144,1228176896,1226534400,1668885120,1945005824,1996765568,1810878464,1928315008,1946035072,1807905792,1966928896,2565428224,3020406528,3276156672,3082039040,4056408064,4016764416,4138043904,3611212625.70891,3899275420.5997,4645361152,4239447900.90695,3498218752,3494250970.81687,3146822887.19502,2800146944,2763655424,2882696704,3270337536,3503819863.2891,3484636759.34403,3328973393.73445,3524746536.48458,4098459038.49172,4055544323.34075,4115407849.19121,4973863848.78193,4592165377.67521,5032883664.3277,4612776476.68481,4521076909.31875,4571348246.67311,4628401508.54477,4736844967.47697,5021931589.53722,6389669861.55485,5738402625.82057,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Military expenditure (current USD),MS.MIL.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11251333120,9926348800,9802375168,12244268032,12360225860.6446,9867120066.274179,12385129472,14275400819.9732,15699587072,17031780199.6918,20473915094.7667,22237140992,26561462272,30284128256,33144000512,37904571826.996,42789953650.9024,51453373233.8486,62136590754.5887,78840802819.8629,96601666752.95419,105522648101.838,125286373164.011,145127609596.207,164070469321.744,182109325991.68,196538827230.79,198538361427.554,210443034740.968,232530595985.266,240332555458.151,257973429833.565,293351866358.74,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,2715197184,3074753024,4055355136,4688620544,4601309696,4686319104,4766403584,5037954048,4544109568,5150518784,5805254144,6829977600,8478070784,11237904384,12965199872,14381444096,14549820416,16288883712,20159787008,23323129856,25125769216,21738731520,21037572096,20828213248,18943610880,18752462848,26065367040,32131495936,33036666880,31631605760,39834664960,37196730368,39502450688,35030537589.3725,34197705639.6682,38742700032,36701189772.0008,31267710976,31200768077.9981,30690158425.5813,26497593344,25815402496,27611355136,32997363712,35776573894.1079,30324965179.3265,35883657972.6799,40110859276.4132,45098956311.5685,44528927835.6531,43025915011.688,45163212878.2034,43798225349.2896,44242647302.8936,44662831167.6836,38170021071.3098,39855047309.425,42210258091.0503,46423020903.4147,49007512315.2709,53210988259.4324,56017029328.2876,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Military expenditure (current USD),MS.MIL.XPND.CD,,,249697760,335799712,448499584,515199552,481849568,508299552,648599424,888949184,1092499072,1266148864,1066049024,1243856128,1852779392,1926890624,2201613056,2751057920,2485280000,1152855552,1361426688,1817140224,2307139584,3004281344,3742137600,4203565312,4727136256,4805707264,4453564928,3516344832,2260645120,1345757312,1415820032,1526165392.00363,1714409786.33021,1948876928,2115742979.46619,2267650304,2372048406.13931,2447978793.90325,2627698432,2834256128,2902768384,2383915008,2369743586.43306,2659439713.57524,2952520159.00453,3306908257.22261,3779880349.74689,4017404478.27146,4407286452.71917,4463974191.06902,4557748767.35039,4359834243.76995,5085121576.27973,5475490833.44169,4513022526.81632,2765588434.01207,3119587363.84249,3743671451.54565,4505374644.32501,5165445626.55285,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,232839808,239348768,308791680,316520320,386820000,439425760,560943104,545917184,668753600,805713216,859146944,900614336,1256164608,1521319424,1968178688,2108232960,2521013760,2808847104,3470695168,4910953984,5508356608,4977748480,4956242432,4770965504,4851950080,5077574144,6270618624,7921508864,8900414464,9302930432,11695038464,11680264192,12250194944,10041511353.1917,10092671257.3779,11439905792,11294316854.7562,9865891840,10333417234.2975,11113722490.4035,10273779712,10222073856,10270838784,12880532480,15262458636.7672,15997724220.2656,17252217612.6934,20065668634.8096,22227721829.5675,20178274984.962,19710785449.8738,19695435494.297,18860623363.4077,17242959322.0024,17178549314.7619,15187168681.3796,14014439635.1839,16043533257.4617,17823271130.6257,17189319301.3883,17431779322.9226,19544465468.3065,
FRA,France,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,3260128000,3469940480,3774279936,3887456000,4130961152,4304458240,4548130816,4918985216,5148997632,4964005376,4941059072,5291990528,6326060032,7976535552,8361637376,10945218560,11175247872,12634634240,15852895232,19040483328,22198183936,20047753216,18918492160,18188519424,16977866752,17455151104,23901440000,29280471040,30327271424,29665454080,35774431232,35869122560,37902270464,35775273292.8873,37288606059.734,40124022784,38977734095.7754,34697904128,33633561283.2294,32672714284.8488,28403138560,27951566848,30578399232,38569115648,44524579612.5999,44442050523.1392,45792148415.5244,50684467384.4229,55365965844.831,56441455398.191,52044060565.0524,54120871009.5016,50216507403.1664,52001462447.6638,53134750898.8024,45647471640.5013,47370589552.6306,49195662250.3198,51409812838.5917,50118929211.9346,52747064858.0873,56646996215.7048,
GBR,United Kingdom,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Military expenditure (current USD),MS.MIL.XPND.CD,5129857024,5308314112,5597132800,5810811392,6159898624,6475329024,6692139008,6933197312,6220499968,6199702528,6792098816,7518385152,8789192704,9446894592,10450754560,12907674624,12038757376,12952124416,15897335808,20544684032,28360159232,26948261888,27714189312,26423121920,25418840064,26031882240,30432577536,34921758720,38357237760,37456646144,43545096192,47045455872,45592592384,38113206791.4603,38569013504.8574,38294282240,38566134645.3921,39889948672,41222125832.6215,40760400666.5656,39343710208,39512580096,44245266432,52343123968,60250782544.7032,61653635038.462,64217619528.3273,73448032014.1665,72915407669.7404,64010506669.801,63979111970.2694,66569552573.1349,65452487554.2416,63837724855.4312,66995468654.2895,59990205719.3245,53327327634.3844,51633539217.1638,55680228214.9866,56856133066.0076,60675039625,68366440551.9257,
