countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,4.7618999,4.7618999,4.7618999,4.7618999,4.7618999,4.747963,4.3859777,3.9962714,3.9590452,3.9612851,3.9530725,3.9032476,3.8712108,3.8156757,3.707365,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.6711249,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,1.3871667e-11,1.4039167e-11,1.6956667e-11,2.0915001e-11,3.3342499e-11,3.4999999e-11,3.4999999e-11,3.7916666e-11,4.5216667e-11,5.0000001e-11,5.0000001e-11,5.0000001e-11,3.6575001e-10,1.3998334e-09,4.0763335e-09,7.9575004e-09,1.3169666e-08,1.8371583e-08,4.4026915e-08,2.5922535e-07,1.0529958e-06,6.7649116e-06,.000060180901,.00009430317,.00021442983,.00087526039,.042333961,.48758909,.95355439,.99064165,.99894583,.99900836,.99975002,.99966252,.99949998,.99949998,.99949998,.99949998,.99949998,3.0632567,2.9006293,2.9233007,2.9036574,3.0543134,3.0956488,3.1441646,3.7101068,3.8962951,4.1101394,4.5369344,5.4593525,8.0752764,9.2331858,14.758175,16.562706,28.094992,48.147892,70.539169,94.990738,130.61655
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.89285702,.88267028,.83869779,.7041139,.69666588,.76387125,.81828409,.90182501,.87365925,.89464092,.87824434,.87021458,.98586285,1.110015,1.1395192,1.431895,1.4959742,1.42818,1.2799083,1.2645967,1.2810566,1.2837558,1.3616483,1.47056,1.3677509,1.3490325,1.2778634,1.34738,1.5918283,1.54995,1.7248267,1.9334425,1.8405625,1.5419142,1.3597525,1.3094733,1.3279735,1.1950725,1.1921784,1.2821888,1.0901595,.96946323,.96580106,1.0358431,1.1093633,1.3310902,1.345214,1.3047581,1.3384122,1.4385066,1.4530851,1.3312242,1.4416645
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.0997051e-14,1.1684348e-13,1.6776416e-13,2.4886939e-13,5.4202389e-13,8.2165486e-13,9.6071306e-13,1.1526032e-12,1.4695953e-12,1.7633629e-12,1.9878537e-12,2.2882208e-12,2.5679600e-12,2.6509404e-12,2.9383611e-12,3.5168444e-12,4.6187073e-12,6.1208673e-12,7.8197501e-12,1.1660691e-11,2.2812320e-11,4.0300110e-11,7.7685441e-11,2.4971816e-10,7.9974133e-10,2.6832423e-09,5.9096821e-09,1.6976308e-08,1.1354767e-07,1.2263874e-06,.000029557268,.00017596144,.0019530235,.038276613,.66468352,.91766667,1.0051,1.0779917,1.1605166,1.8139329,1.8294231,2.3496318,2.9203629,3.0774751,2.9251194,2.4343901,2.1753266,1.9470583,1.8337667,1.9994282,1.7592267,1.6728288,1.9530686,2.1560891,2.352952,3.3269043,3.4913135,3.1913896,3.6538253,3.9444711,5.155179,5.3944006,5.1639705
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.9697668,1.0130625,1.0687692,1.0785143,1.0785984,1.0779843,1.0773416,1.0787104,1.0774714,1.0767806,1.0442188,1.0098106,.99066257,1.0000901,.97801751,1.0171592,.98602831,1.0634416,1.1406592,1.1714245,1.1692269,1.1989031,1.233735,1.2324119,1.2950656,1.3655074,1.3894711,1.3259826,1.2307009,1.1839721,1.1667737,1.1457258,1.2087229,1.2900879,1.3656734,1.3724455,1.3635217,1.384598,1.4835052,1.4857048,1.4853941,1.5488399,1.5703428,1.4010146,1.3012816,1.2114052,1.1343447,1.0740457,1.0670869,1.1415354,1.0301127,.98925817,.99936473,1.0301374,1.1047472,1.2787862,1.3256152,1.2979358,1.295818,1.3267933,1.3411527,1.2538769,1.3015548
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.3729501,4.1338544,3.8192501,3.1648333,2.97925,2.5812833,2.4996417,2.4035251,1.788025,1.662725,1.6757083,1.9642416,2.0302751,2.0991416,2.3496833,2.4571249,1.7989167,1.4911916,1.4633,1.6359251,1.3891584,1.4339917,1.4062183,1.4776167,1.3676925,1.1824691,1.23601,1.4513125,1.4498134,1.5021549,1.6888425,1.687615,1.5586075,1.3466508,1.2434958,1.2451767,1.2538433,1.2003658,1.0830899,1.0881417,1.0429057,.88804203,.93768448,.92690355,.91615105,.9623813,.98539442,.98469168,.97789168,.99370915,.93896502,.91384584,.95483249
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.4618089,2.2450664,1.9894155,1.9611071,1.8598233,1.9414153,1.8578234,1.6835895,1.5549389,1.498386,1.7045417,1.8925416,1.975675,2.3200417,2.9366584,3.4527917,3.7221,3.7221,3.7651083,4.7832084,5.3233914,5.5145917,5.7619581,8.6187429,8.3514166,8.3141747,8.2898169,8.2789583,8.2782497,8.2785044,8.2770681,8.2769575,8.2770367,8.2768011,8.1943169,7.9734383,7.6075325,6.9486551,6.8314161,6.7702689,6.4614615,6.3123326,6.1957583,6.143434,6.2274885,6.6444778,6.7587552,6.6159573,6.9083848,6.9007673,6.4489751,6.7371583
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.1999998,4.0333333,4,4,4,4,4,4,4,3.9433334,3.6600001,3.5073936,3.1886415,2.6726,2.58775,2.4602916,2.5179999,2.3221834,2.008625,1.8328834,1.8176666,2.26,2.4265916,2.5532584,2.8459418,2.9439666,2.1714833,1.7973917,1.756225,1.8800417,1.6157334,1.6595417,1.56165,1.6533208,1.6227942,1.4331325,1.5047742,1.7340559,1.7596676,.93828309,1.0827051,1.116533,1.057559,.88404793,.80392164,.80380017,.79643273,.72967237,.6799227,.71695769,.754309,.71841389,.77833813,.75294513,.75272822,.90129644,.90342146,.88520551,.84677267,.89327627,.8755064,.84549415,.94962376
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.34824198,.34824198,.40448913,.43478259,.43478259,.43478259,.43478259,.43478259,.43478259,.43478259,.43478259,.43478265,.43478259,.39795625,.39130366,.39130366,.39130366,.39130366,.39130366,.7000007,.7000007,.7000007,.7000007,.7000007,.7000007,.7000007,.7000007,.7000007,.7000007,.86666667,1.55,3.1380084,3.3217483,3.3525176,3.3851333,3.3922083,3.3914833,3.3887501,3.388,3.3952501,3.47205,3.973,4.4996667,5.8508749,6.1962419,5.7788334,5.7331667,5.6354332,5.4324999,5.5445533,5.621943,5.9328275,6.0560584,6.8703251,7.0776086,7.6912584,10.025401,17.782534,17.76729,16.770582,15.759173,15.644527,19.16044
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,60,60,60,60,60,60,60,61.666668,70,70,70,69.468666,64.271416,58.260082,57.686501,57.406918,66.902916,75.96183,76.667831,67.125,71.70192,92.321831,109.85917,143.42992,160.761,170.04408,140.04837,123.47833,116.48683,118.37767,101.93391,103.91158,102.37908,127.26041,133.95796,124.689,126.66158,146.41364,149.39532,.93828309,1.0827051,1.116533,1.057559,.88404793,.80392164,.80380017,.79643273,.72967237,.6799227,.71695769,.754309,.71841389,.77833813,.75294513,.75272822,.90129644,.90342146,.88520551,.84677267,.89327627,.8755064,.84549415,.94962376
