countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.99233633,1.0758724,1.122447,,,,,,,,,,,,.32141384,.35430929,.36109164,.34630123,.05584107,.042056449,.065621398,.058638863,.97223836,.68208826,.53544641,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8385134,5.0082364,5.5479221,8.0151377,8.1264372,8.0543575,8.1717882,8.6900864,9.0305262,9.0761242,9.6226034,9.3248987,9.8189583,12.51878,13.10078,13.103176,12.878886,12.448269,13.317846,12.383041,12.853043,12.663628,12.952842,12.452903,12.610967,12.336507,12.097283,10.939624,9.9923897,10.594398,10.871536,11.484417,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,17.841429,17.018929,18.057718,19.874817,20.300184,20.534489,20.40587,19.769939,20.412893,21.462749,21.586412,21.715326,21.013271,22.493757,22.555988,23.212177,23.129988,22.643911,22.429504,22.327972,20.639563,19.98019,20.007458,21.161045,21.874054,22.377064,22.229557,22.430109,23.042013,24.875654,23.560978,24.312502,24.271439,24.76836,24.528482,24.05567,24.217468,22.024149,20.482784,20.32476,21.106991,21.955381,21.907961,21.882948,22.277077,22.091869,23.197432,23.413076,22.61195,23.127504,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.249576,14.851298,14.332411,14.125306,13.490074,13.629629,13.710431,13.605228,13.940108,13.737695,12.96122,14.678481,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16312,14.449563,14.357161,13.696872,13.114513,13.329505,13.924014,14.567728,14.668398,14.699921,14.857743,14.181479,13.377627,13.228934,13.344748,13.299493,13.348221,13.334432,12.390165,12.304386,11.732809,11.803922,11.664428,11.623505,11.808379,12.389811,12.496563,12.612017,13.057685,12.754197,13.587543,13.347123,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,7.2860708,7.3013887,7.5942502,7.6289907,7.7862215,7.6656432,8.3022747,7.95995,8.3315954,7.8182907,7.953722,7.7608399,7.9193583,7.3396516,7.8557463,7.9154615,8.3380451,8.3239288,9.2619572,8.9188862,10.032346,8.9706326,8.9557047,8.9775772,9.0203943,9.1261606,9.1940384,9.0656242,9.587142,9.3485279,9.3640079,9.3219519,9.169075,9.2562141,9.0873394,9.556179,9.404603,10.061635,9.6910238,9.9071693,9.3712139,10.254651,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5692434,9.0572538,9.7714062,10.101426,10.309442,10.212049,10.312795,10.256768,9.907733,9.6786184,9.3769207,9.1229153,9.4193172,9.0526857,8.4928637,8.0906258,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,10.784103,10.919394,10.475225,10.044878,10.170334,10.490866,10.493259,10.379879,10.282567,10.056737,9.7944269,9.7504034,10.190858,10.19698,9.9378834,10.084635,9.816474,10.250722,9.832284,11.629714,11.753875,11.460457,11.677844,11.476135,10.901852,10.729368,10.83498,11.508536,11.705001,10.961685,10.835304,10.998522,10.426294,10.656816,10.851627,11.33404,11.472301,11.614937,11.190298,11.481385,11.622986,11.611504,11.482563,11.478729,11.296121,11.419123,11.456982,11.408562,10.562308,11.225293,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,20.521614,17.331385,25.517973,23.071096,21.285198,,26.244299,21.695761,21.082706,18.446203,17.254692,16.319727,14.570874,14.349026,13.838961,13.234864,14.737778,18.48023,18.764175,19.047428,17.623039,17.462946,15.964648,,,,,13.40776,13.34994,13.835978,14.068635,15.829513,15.349853,15.320525,15.661361,14.130076,14.008636,12.384905,13.498065,12.22014,12.519211,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,8.9588032,9.3208551,8.580821,8.7621489,9.0217896,8.9004087,9.4994955,9.6701584,9.6701975,9.9680824,9.2276459,10.638442,10.589629,12.585183,14.430011,15.565554,15.396961,16.727953,15.710808,15.776973,16.021461,14.882006,15.10677,,,,,,,,,,,,,,,,,,11.762926,13.61175,14.135277,14.199623,13.788787,13.714933,14.225752,13.748632,13.581708,15.225025,
