countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.118973,15.56319,17.218184,,,,,,,,,,,,6.9890046,8.166584,8.2631788,8.26964,.98260885,.65550458,1.3156124,1.2631032,17.488817,9.4301987,10.518084,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.960247,27.524267,29.982107,33.879288,33.396141,36.482071,39.253773,40.741455,41.78904,42.11198,43.864117,43.825314,37.445869,34.25135,37.16692,37.233223,35.891689,33.928566,31.676975,29.458708,28.603678,29.653887,29.574198,29.165483,27.594534,28.000034,27.241611,30.252266,33.348221,29.871004,31.578522,29.543411,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,21.899416,22.123619,21.684484,19.061546,20.666384,19.399811,19.41106,22.251705,23.373692,23.034426,22.036409,23.648413,25.302258,24.536762,23.965586,22.730488,22.760122,21.787788,21.420769,21.231623,20.279284,20.149544,21.387022,21.576763,21.489784,20.518061,20.242756,19.292505,17.905891,24.276014,25.433834,25.820951,25.321547,24.180088,23.628044,23.185545,22.563189,22.659441,24.362064,23.980829,22.183681,23.028282,23.491421,21.326498,21.663662,21.117561,20.471853,19.463425,19.332535,20.07074,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.149454,23.039125,22.191242,21.942753,21.427788,20.228163,18.893204,20.77281,20.924166,19.056509,18.941652,19.7069,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.514847,17.460447,17.185143,16.787468,16.288189,15.497466,15.931,17.32518,17.569904,17.435207,17.121931,16.094673,14.955051,13.562181,14.668099,15.272187,14.462109,14.052289,13.924665,13.961158,13.770326,13.898559,13.949174,13.475666,13.70374,13.331037,13.422086,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,23.06448,21.026917,19.825918,18.671577,18.071419,19.134073,19.521559,20.18623,20.33717,20.733751,20.607738,21.370344,21.177347,,,,,,31.611502,30.80064,29.252926,29.512989,28.207781,30.954689,29.879467,30.964869,31.707104,34.081406,33.452278,34.105366,32.75946,33.303608,34.167885,33.457443,33.134388,32.765408,31.837168,31.63871,32.414997,32.029335,31.788868,31.246464,31.263489,30.230518,29.960112,29.509525,29.01343,28.274544,28.801872,27.556608,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68766,56.789593,37.73708,56.863327,60.11021,63.37455,62.131748,61.327641,57.978954,38.423744,35.310509,34.746315,32.87672,32.638416,31.928631,34.393494,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,28.330612,26.591265,24.604393,24.53936,23.905634,23.029732,23.6521,24.153912,23.113064,22.758177,21.395416,21.990887,23.347248,22.315451,21.857458,22.419888,22.623495,23.112684,23.847887,23.877228,23.101753,23.115503,23.621355,21.792828,20.401396,20.031807,20.344946,21.373234,21.606953,22.138275,22.340569,22.302969,22.138823,22.789156,22.708246,24.021523,23.890472,24.591555,24.659195,24.793547,24.278355,23.889809,23.506004,23.179102,22.039928,21.965311,21.327734,21.000301,18.864059,20.351189,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,11.185682,11.757425,10.814904,12.255161,15.952327,,9.0713291,9.5107508,12.721673,12.484311,12.07248,11.180491,11.693791,11.239016,11.763916,13.238609,10.10951,13.491949,13.13866,12.533938,13.343016,16.100492,16.815514,,,,,22.138851,21.50083,21.646782,23.880455,19.909294,19.399858,20.206631,21.90164,24.230621,27.611904,27.279606,26.466602,20.552923,26.107817,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,28.057343,28.538868,24.524208,22.621883,20.471546,17.539896,17.729803,16.913752,15.824284,17.4116,15.460204,17.619688,17.082615,20.673891,28.554777,24.965929,24.471004,23.02557,21.980522,21.704674,22.534382,20.401154,23.195112,,,,,,,,,,,,,,,,,,23.899523,26.31023,27.006485,28.39242,28.517214,28.702993,27.919521,27.430517,25.726627,26.250828,
