countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0126296,1.0998591,1.1492621,,,,,,,,,,,,.32317764,.3562032,.35420641,.33805075,.046729326,.032988526,.062402464,.057260852,.97661984,.687603,.53956175,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.482826,3.293483,3.9166338,5.7871881,5.6188049,5.7777724,5.8208017,6.2945118,6.5138073,6.5792575,6.9515686,6.6848097,6.1790318,7.0464535,8.1386089,8.0551281,7.9518924,7.9309072,7.8666768,7.8479519,7.9398384,7.7799573,8.0262346,8.0752163,7.9836903,7.8563561,7.4451942,7.4065266,7.378541,7.1299286,7.1337819,7.3911371,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9256854,5.7778983,5.1840858,4.9579935,5.3169932,5.5938597,5.745048,5.5952487,5.4832454,5.4484797,5.2167506,7.4900289,7.5534158,7.7831101,7.6342149,7.3517337,7.1389441,6.8111548,6.6720386,6.1000352,6.2583203,5.9864674,5.6900306,6.1712518,6.2824669,5.7581511,5.9573765,5.8192592,5.868022,5.6260309,5.4233561,5.7767363,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3014164,8.3141756,8.1445169,7.7729125,7.1791048,7.2475367,6.8755193,7.0943484,7.350481,6.7928162,6.1643357,7.148674,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9243841,3.851088,3.7225192,3.5719941,3.5419593,3.7103689,3.7000251,3.6033831,3.4908471,3.2670181,3.0571549,2.6039755,2.8246136,2.8095303,2.669908,2.6112835,2.5798199,2.5824273,2.6957083,2.7282224,2.7632444,2.7362709,,,,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9104877,4.7642632,4.6187453,4.7503014,4.6685481,5.3537769,5.2722535,5.4489431,5.822186,6.2339406,6.5408764,6.3205419,6.0885205,6.113615,6.1842585,6.0776458,5.969944,5.8032784,5.7611623,5.7102547,5.7957678,5.7969575,5.6953974,5.6639848,5.5924354,5.5911088,5.4652734,5.6011109,5.3511567,5.2787271,5.3960991,5.3975482,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7968245,6.6616368,7.1703463,7.3402066,7.7593102,7.8496394,7.6884351,7.5162721,6.9761839,6.652987,6.1834826,5.9067473,6.170465,5.8059702,5.5361791,5.2487822,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6291733,7.6475353,7.7188025,8.1251516,7.3994751,6.8821831,6.7532349,6.7933292,7.2991118,7.3252311,7.2823224,7.2893171,7.4718494,7.0444283,7.2100506,7.123282,7.4929476,7.5139594,8.0170403,7.8163772,7.9711747,7.8556099,7.727808,7.5735373,7.4564838,7.0762553,7.0818443,6.9545727,6.9078898,6.1223788,6.7354393,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,6.9575868,6.4479637,6.6575909,6.8823023,7.2973566,,5.9903784,4.9619412,6.6991053,6.1252975,5.4651718,5.03791,4.9459515,4.6028538,4.47299,4.2168021,3.9911551,6.0140615,6.1873116,6.2362051,6.1260695,6.1512156,5.7822232,,,,,7.1820979,7.1735578,6.9325891,7.3612113,7.0140266,6.5357981,6.7746477,7.3604355,7.4280534,7.4472489,6.2432055,6.2288785,5.4334779,6.4046474,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8432117,8.6864529,9.0517597,9.3879375,9.2108135,9.2272806,9.2951498,9.1252995,9.0371532,9.7326145,
