countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1337414,4.9879689,6.6877689,15.294205,19.433384,17.95042,21.087704,21.324024,24.150078,25.004955,25.106956,26.561621,18.703184,22.045074,24.202354,25.247017,25.025679,20.562698,18.669424,19.202805,19.164049,20.777948,21.474236,23.3333,24.534576,27.224655,21.864872,22.898254,18.514143,14.908697,15.180273,14.437976,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,66.683441,67.437195,68.972481,71.713036,69.923164,70.701088,71.541191,67.926056,67.646843,68.498474,69.763702,68.257515,66.030464,66.704422,67.020737,68.352165,68.421402,70.219322,70.863907,71.88932,72.179932,72.378014,71.109375,70.430519,71.404861,72.606117,72.808273,73.403984,75.05751,70.858994,68.895012,68.722298,69.377853,71.026543,71.800613,72.215942,72.916122,72.357101,69.879707,70.949089,72.904099,71.678169,70.933983,72.799927,71.796959,72.354706,73.102913,74.30545,73.409561,73.110199,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.68174,48.31115,47.087234,47.902863,49.020061,49.084648,52.724762,51.193874,50.260906,52.761215,54.404289,54.796864,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.331123,69.893806,69.812256,69.501312,70.285881,71.574142,72.874001,73.554657,74.318291,75.551926,76.684959,75.444206,72.882576,72.7994,73.843895,74.296791,75.827217,77.153801,78.717064,76.989082,76.191719,77.371552,77.571754,77.73848,77.955978,78.014046,77.924873,77.962646,78.557655,78.426796,79.816574,78.969894,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,25.394833,24.812696,30.42861,30.240368,37.552261,32.891388,33.070412,29.699772,31.25,31.705046,34.118176,31.666031,33.933739,31.179197,33.784695,30.478685,34.958176,32.148354,37.083656,37.128971,40.009258,33.822765,39.054924,31.697258,35.499023,34.288349,37.377865,30.926813,36.041328,30.623436,32.683788,32.513706,32.367783,34.37825,35.982834,36.959129,40.873909,39.676201,38.900475,38.653576,38.544022,39.453373,39.109596,42.042507,42.113682,44.678146,45.007595,46.830406,42.461494,47.401604,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.791035,28.441114,28.640564,29.172985,27.792471,25.419834,27.139023,28.195776,31.256313,32.493542,35.313976,36.376492,35.221111,36.729946,35.830738,36.825706,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,39.800175,42.602787,45.381493,43.661854,44.650639,47.18026,45.966553,45.392735,44.516384,43.472763,44.254211,43.362694,41.455063,43.733517,44.271225,43.636055,44.35751,44.132484,40.593357,41.029366,41.507961,39.546497,37.867188,42.225471,43.434258,43.551201,43.782242,43.431667,44.191048,40.705952,39.789566,39.236145,39.434586,39.299847,41.120083,41.062477,41.661049,38.593655,37.758743,38.304909,39.867496,40.784832,41.219536,42.014641,44.035088,44.643658,45.717739,45.90876,47.875404,46.225269,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,13.039486,17.125645,13.221957,22.715174,23.314711,,34.449871,32.943348,34.682598,28.032253,30.733376,33.805752,31.423241,31.406267,31.859985,33.48056,38.642944,38.858631,38.163589,36.01236,33.751495,34.216175,34.367493,,,,,38.626431,37.394142,40.627884,41.673134,49.365047,51.200123,48.877769,49.168835,44.938663,46.645432,43.992577,46.895084,46.458359,42.430145,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,31.806168,32.006557,36.552441,39.580807,42.066265,43.790485,47.405319,50.089741,52.627338,50.784893,48.540512,48.907375,50.889111,48.685741,41.573963,50.199146,50.71888,55.687588,57.168629,58.111565,57.305889,59.25993,55.614334,,,,,,,,,,,,,,,,,,40.173801,42.781361,42.685081,40.994221,40.531677,40.61467,42.416122,41.279835,40.966927,43.656322,
FRA,France,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,29.055817,29.176582,34.066357,31.327497,33.541111,35.194771,33.029942,32.445618,34.476124,35.375828,35.226971,35.639389,35.526173,34.186546,35.069016,35.457596,34.713371,35.084934,35.359562,37.010353,35.598541,36.215786,35.809071,35.325897,36.099655,37.632294,43.663025,44.791653,46.302059,47.511864,45.564831,44.999489,45.49371,46.070282,47.580235,47.860374,49.263275,46.148224,45.425198,47.697433,49.151443,49.521488,48.944603,48.660355,48.337467,48.462021,50.27721,49.784966,50.005604,51.467175,
