countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,.0088763526,.0079100356,.21430086,.25542781,.20015809,.18650821,.078483433,.039665934,.052522749,.015413194,.01606112,
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.220664,7.8783679,7.8224816,7.6169381,7.295867,5.2240396,6.5544114,7.568975,6.5828218,5.564786,4.8933692,4.2844753,13.638533,16.470869,15.799545,15.823533,14.646726,15.728661,20.124052,13.684639,15.670198,15.326104,13.877943,10.717349,10.756431,8.0453176,7.1125259,6.4097457,7.4493608,13.164229,13.381996,15.042249,
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,5.172224,5.314209,5.0273404,5.6141911,5.5691361,6.0381117,5.0923057,5.7998486,5.3926702,5.3720155,5.2439198,4.6804152,4.8460422,5.1493359,5.1351595,4.4983115,4.5404806,4.2492671,4.1122212,3.3958662,3.5722089,3.507426,3.2239704,3.1137841,2.501359,2.4483759,2.5648427,2.3145628,2.2131858,2.4038036,2.650279,2.6098304,2.4509356,2.2213256,1.854365,1.9662961,1.9357611,2.0322759,1.8922949,1.8089328,2.0201819,2.1726198,2.3809218,2.7340956,3.405875,3.2399447,3.2717764,3.1003652,3.8294823,3.3196015,
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8706353,2.0920155,2.1783781,2.4200737,2.3240252,2.2212203,1.6900433,1.7642876,2.0322559,1.9921253,2.3371947,2.5183594,
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0875173,2.6021528,2.7751055,2.2767217,2.4779928,1.8747607,1.5562305,1.4479613,1.3742657,1.0987113,1.0545051,1.2831697,1.3735955,1.2420471,1.1657783,1.2531101,1.2642939,1.2817265,1.3538285,1.3230727,1.2174381,1.2749451,1.2839557,1.2925785,1.3285124,1.4511185,1.5018094,1.4445169,1.5961225,1.2924631,.94675702,1.1164643,
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,16.29295,13.767515,11.291102,11.277388,9.7495527,9.853879,9.4863415,9.3488216,9.1695099,8.7704124,8.1413898,8.0376453,7.4306865,,,,,,2.1971526,2.1379411,2.0565379,1.8866446,1.8641224,1.7348894,1.910115,1.517801,1.3392246,1.4150091,1.2573941,1.2530485,1.2782893,1.2756146,1.2174138,1.0784714,1.0785922,1.0447706,.95774198,.99154496,1.0097015,.9491232,.94201392,.92908162,.93400556,.88795024,.95213807,.88118309,.87389559,.88405532,.94423467,.92315364,
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.841695,5.0313401,3.1496415,4.8356147,3.7084391,4.438674,4.7209377,4.7087955,4.1162148,2.8375642,2.3597176,2.2730591,2.1094341,1.9061491,1.8505985,1.8336743,,
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,.81164151,.41690746,.21892764,.029305102,.033087384,.030370213,.02553916,.023833483,.018793019,.017717538,.020814687,.018227847,.015180266,.010826612,.010427347,.0084552299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,23.982103,20.049505,36.897911,25.833775,22.117809,,20.055746,20.447565,16.175098,17.019497,15.67384,13.54016,11.639542,13.037669,13.347951,12.928064,9.5354862,10.134345,9.4684877,9.7698851,10.073717,12.19242,11.992855,,,,,7.5929608,7.5500078,7.448997,5.8266115,5.4871697,5.042192,5.6346431,4.8834739,4.846355,4.5885797,4.2388887,4.1549711,3.4036283,4.0616369,,,,,,,
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,9.9327087,10.292706,9.6637411,9.0360489,10.866952,11.031532,8.5301638,8.6783085,3.7805176,3.7996421,4.1727538,4.2029552,4.0173035,4.707417,2.7232366,2.564918,2.4625013,2.0556185,1.6164898,1.0697535,.54181314,.051899683,.0098145055,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
FRA,France,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,.32953864,.26816842,.087431692,.038729668,.031857278,.042918455,.037821483,.031843752,.053366538,.038828921,.033422459,.029893579,.032693986,.030312216,.033319052,.026346145,.018814595,.0081184907,.011184678,.010078427,0,0,.0065956535,.0040492387,.0018321495,.0069230194,.00651199,.0039235558,.0030018596,.0010565926,.0007434701,-.00073271454,-.0015441501,.0098077413,-.0323103,-.012017109,-.0130365,-.012093436,-.012618223,-.0019387846,-.013884768,-.004038536,-.012106892,-.01232501,-.011470148,-.012398627,-.012140493,-.011203301,.0031035163,.0038724917,
GBR,United Kingdom,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,1.6532807,1.2275242,1.1453235,.54209185,.48708653,.32903263,.25999528,.066846997,.061108258,.12449256,.18524897,.07409694,.015658094,.0096932463,.084230967,.032692384,.0041927719,0,.017775934,.00045757796,0,.00045643758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0037371602,.036026604,.63059378,
IDN,Indonesia,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,17.391304,19.803921,12.656847,10.26087,10.781672,10.099065,10.529922,10.014184,7.2362099,4.8317952,4.7210302,4.2614918,3.3165991,3.233892,4.8724442,8.2522898,5.5961475,6.0461278,6.3941264,5.0736766,5.2534308,5.1528816,6.0811105,3.9981594,3.1864347,2.7467792,4.4071336,2.5351024,,3.1075461,3.3276129,3.1818132,3.0199697,,,,3.7679887,2.2037368,2.9059565,4.4711146,3.7112887,3.2986376,2.7775764,2.2844017,2.2227204,2.3186018,2.3470805,2.0594902,2.1969316,3.631206,
IND,India,SAS,South Asia,SAS,South Asia (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,19.820652,15.901324,16.198061,16.258545,18.095675,19.997265,21.434248,22.365406,23.61898,22.549635,23.708668,26.366631,28.170824,28.679964,28.342659,26.69548,28.603495,25.795385,24.140032,21.861147,21.737261,24.19512,24.929171,21.628094,20.773462,20.709669,18.921888,15.646809,15.420212,14.596247,14.8649,14.425705,15.168773,14.663223,14.139315,11.411074,13.457891,14.824629,14.866302,13.210334,13.04096,12.288338,11.288925,6.2074919,4.5085554,,,,
IRN,"Iran, Islamic Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,14.658385,12.755102,4.5126481,5.6614213,6.467268,7.797893,8.6240644,6.0263972,11.671329,8.8894672,8.0346889,11.58728,12.627141,12.035631,13.206425,12.484072,12.17244,15.287207,13.474384,16.917204,18.544313,4.4277244,4.077281,9.1799917,14.661635,21.884226,17.523148,5.4346781,5.9775224,7.3352356,7.0061231,7.3991742,8.1860695,5.7283821,5.4411225,5.2823586,5.5157156,6.0014582,,,,,,,,,,,,,
ITA,Italy,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,.37247759,.16775337,.38124284,.80116981,.14336918,.098212533,.079288729,.051748116,.030283842,.035463851,.03033573,.028838936,.028725831,.029309725,.025725216,.037990216,.013697904,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JPN,Japan,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1311203,1.1284103,1.205193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,10.225304,12.148149,12.378168,13.015464,14.866033,16.167461,18.976494,16.982887,15.048976,13.932506,13.336709,15.755824,15.354488,14.194206,14.941797,17.314964,14.043798,10.869736,11.761139,9.1632357,7.2964778,5.7873297,5.7814984,6.5380597,6.3986211,6.3896847,4.023088,4.4217148,4.3073459,4.1753983,4.2467184,4.0705557,3.8781686,3.35079,3.32796,3.1400707,3.5585513,3.7352316,4.0132055,3.8239398,2.4950628,2.7621191,2.1876185,2.0478971,1.798942,1.7772975,1.5843103,1.4186025,1.2972991,1.3769642,
MEX,Mexico,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,13.793103,10.294118,11.578947,10.447762,8.8235292,11.20332,11.180124,14.350798,6.9836555,7.665904,5.7104912,3.3130493,3.4653466,4.2535677,6.0250258,5.3744407,3.2700057,5.1799574,6.2440963,7.6513171,8.111784,6.7918019,6.0045691,3.9878173,3.8777943,3.8706188,4.2890587,4.3062372,4.0543041,,,,,,,,1.4867415,1.4736819,1.1006572,1.0794638,1.0507075,1.0560564,1.1478813,1.2840275,1.3019106,1.2269936,1.5165479,1.4249279,1.3190312,1.5769812,
MYS,Malaysia,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.145687,11.469876,7.9034896,9.1221409,7.4351029,5.0803723,5.3535933,5.4800882,5.507153,5.1456685,4.0795755,3.3931425,3.3881812,2.0590215,2.3654072,2.2149835,2.0441341,2.087358,2.0680254,1.7212183,1.8290565,1.8776534,1.984639,1.4593071,1.373824,2.0119576,
NLD,Netherlands,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,.51800054,.16720544,.086772077,.008368901,.0075182319,.0069584581,.0064670504,.005902491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.039279416,.042481504,.049975011,.050353143,.052143145,.084427714,.082358211,.07034573,.045014389,.028438175,.02853783,.017803732,.020160858,.023431109,.028340116,.023799559,.010897775,.017157381,.037018757,.040982828,0,0,0,0,0,0,.0096404124,
PHL,Philippines,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.729515,28.035843,28.45837,29.967379,25.22188,28.950237,25.902384,20.584757,16.533491,18.258598,18.325962,17.454754,16.687576,16.649786,17.346291,17.519617,20.315079,19.994425,22.190447,19.616131,21.461077,19.500261,18.984974,17.796705,19.367346,17.956913,18.051497,18.532696,20.924524,20.095228,18.829975,21.414862,
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8942056,8.6426439,12.792207,13.708242,9.4744568,12.424209,18.658634,24.186287,29.175732,22.524218,25.166168,25.530661,25.583691,25.613153,26.485029,25.405914,25.107388,13.22654,10.129164,9.1642351,10.810827,8.3717556,4.9403605,7.8920236,
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6433315,1.2848872,1.4329298,1.5269705,1.8767648,3.5211704,4.9787374,2.9092817,1.7829109,1.8741566,2.2740307,,
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,11.029825,11.184211,8.6200228,7.5651622,8.1687613,8.0400715,8.104887,8.0622063,6.8656716,5.5021162,5.389883,4.7187929,4.5585537,3.6311293,3.0544617,2.7265003,2.7424943,2.4506683,1.9975381,2.1738038,1.93457,1.5981492,1.3505197,1.2206219,1.1941164,1.1232857,1.1654408,1.2645674,1.426993,1.5546422,1.997151,.051443443,.065721013,.062074851,.061515167,.047623582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
THA,Thailand,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,27.423296,27.296488,34.367062,26.843824,24.460939,25.879648,25.208916,25.072252,25.627291,23.062592,19.54447,19.996033,21.897333,20.169029,18.13575,19.255426,22.33754,21.727489,21.736307,18.918011,16.611168,18.113169,17.159765,16.36544,14.576427,12.048852,8.9471331,9.166791,11.058529,10.317793,10.397094,9.7220821,8.4006796,7.4391727,6.2069368,5.5203624,5.2766843,4.5569487,4.516952,4.4295163,4.9382491,4.1312084,4.0430059,3.5524936,3.3695235,3.0558531,2.9349737,3.0122128,2.7801187,3.1108603,
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,13.92405,14.671164,14.245811,13.235294,16.910229,15.890851,16.2663,10.851621,5.9557815,5.3411846,,7.1924648,9.1006308,7.5178924,6.6303697,7.4497685,6.6026464,6.286097,6.0310755,4.6414037,4.4074759,4.284822,3.1937983,3.6988492,2.3345704,2.3282309,1.7040169,,,,,,,,,,.92892742,.80204314,.91356313,1.1184738,1.1029953,1.2129563,1.105563,1.2113646,1.2036265,1.4486791,1.4440063,1.3694605,1.7438221,1.6820815,
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,1.6363552,1.3937854,1.2931345,1.4950451,2.0060439,1.4758557,1.6683871,1.6024723,1.3922474,1.2879226,1.3614105,1.3377824,1.6148791,1.5616906,1.6584252,1.6871469,1.7214333,1.5890306,1.5741867,1.4098474,1.540272,1.5552917,1.5498515,1.3806995,1.2457272,1.1054335,1.0934649,1.0408083,1.0174184,.99934101,1.049124,1.1160054,1.1311481,1.083413,1.0364949,1.0658222,1.1172867,1.0171494,1.158313,1.2289009,1.2303419,1.1196418,1.1252559,1.0965637,1.075354,1.0204889,1.4743257,2.0862539,1.83026,2.0479121,
VNM,Vietnam,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
