countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
ARE,United Arab Emirates,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2000000,2000000,10000000,35000000,125000000,190000000,241000000,262000000,335000000,407000000,523000000,871000000,1157000000,1807000000,6414000000,7262000000,9535000000,9636000000,9126000000,13652000000,21970000000,22380000000,18780000000,16900000000,16500000000,16780000000,10640000000,12380000000,12040000000,17596000000,23544000000,24436000000,24756000000,25620000000,26403000000,28364000000,37334000000,40423000000,33837000000,36474000000,49835000000,48414000000,52163000000,67135000000,90997000000,117287000000,145587000000,178630000000,239213000000,191802000000,213539000000,302037000000,359728000000,374214000000,343036000000,300477000000,295031000000,313603000000,387964000000,389428000000,335297000000,425160000000,598509000000
ARG,Argentina,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1079000000,964000000,1216000000,1365000000,1410000000,1493000000,1593000000,1465000000,1368000000,1612000000,1773000000,1740000000,1941000000,3266000000,3931000000,2961000000,3916000000,5652000000,6400000000,7810000000,8021000000,9143000000,7625000000,7836000000,8107000000,8396000000,6852000000,6360000000,9135000000,9579000000,12353000000,11978000000,12235000000,13118000000,15659000000,20967000000,23811000000,26370000000,26441000000,23333000000,26341000000,26543000000,25650000000,29566000000,34576000000,40351000000,46546000000,55779000000,70018000000,55672000000,68187000000,84051000000,79982000000,75963000000,68405000000,56784000000,57910000000,58644000000,61781000000,65116000000,54884000000,77935000000,88445000000
AUS,Australia,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2050000000,2363000000,2356000000,2805000000,3053000000,3005000000,3171000000,3478000000,3526000000,4220000000,4770000000,5213000000,6461000000,9559000000,11016000000,11948000000,13193000000,13367000000,14416000000,18663000000,21944000000,21477000000,21360000000,20113000000,23111000000,22604000000,22569000000,26621000000,33233000000,37125000000,39752000000,41854000000,42824000000,42723000000,47528000000,53111000000,60301000000,62910000000,55893000000,56080000000,63870000000,63387000000,65033000000,70377000000,86565000000,106097000000,123437000000,141358000000,187257000000,154331000000,212634000000,271733000000,256675000000,252981000000,239975000000,187684000000,192505000000,231131000000,257098000000,271005000000,250823000000,344864000000,412184000000
BRA,Brazil,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1268000000,1403000000,1214000000,1406000000,1430000000,1596000000,1741000000,1654000000,1881000000,2311000000,2739000000,2904000000,3991000000,6199000000,7951000000,8670000000,10128000000,12120000000,12659000000,15244000000,20132000000,23293000000,20175000000,21899000000,27005000000,25639000000,22349000000,26224000000,33494000000,34383000000,31414000000,31620000000,35793000000,38555000000,43545000000,46506000000,47747000000,52994000000,51140000000,48013000000,55119000000,58287000000,60439000000,73203000000,96678000000,118529000000,137581000000,159816000000,195765000000,151792000000,200434000000,253666000000,239953000000,232544000000,220923000000,186782000000,179526000000,214988000000,231890000000,221127000000,209180000000,280815000000,334136000000
CAN,Canada,NAC,North America,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,5818000000,6085000000,6213000000,6777000000,8037000000,8473000000,10005000000,11000000000,13171000000,14350000000,16787000000,18374000000,21185000000,26437000000,34508000000,34074000000,40598000000,43545000000,48432000000,58294000000,67734000000,72726000000,71234000000,76749000000,90272000000,90950000000,90329000000,98168000000,117105000000,121832000000,127629000000,127163000000,134435000000,145178000000,165376000000,192197000000,201633000000,214422000000,214327000000,238446000000,276635000000,259858000000,252394000000,272739000000,316762000000,360475000000,388178000000,420693000000,456471000000,316094000000,387481000000,451335000000,455592000000,458318000000,476300000000,410062000000,389991000000,420665000000,452313000000,448817000000,390763000000,507615000000,597480000000
CHE,Switzerland,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1859000000,2017000000,2191000000,2388000000,2621000000,2941000000,3248000000,3468000000,3967000000,4576000000,5063000000,5738000000,6842000000,9528000000,11934000000,12953000000,14835000000,17614000000,23560000000,26538000000,29632000000,27031000000,26018000000,25592000000,25851000000,27433000000,37455000000,45515000000,50704000000,51525000000,63784000000,61517000000,65678000000,63185000000,70360000000,81641000000,79747000000,76150000000,78856000000,80300000000,80500000000,82144000000,91699000000,104822000000,122844000000,130930000000,147856000000,172078000000,200759000000,172474000000,195609000000,234819000000,312464000000,357852000000,311204000000,289720000000,302900000000,299603000000,310749000000,313934000000,319318000000,380194000000,401731000000
CHN,China,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2571000000,1942000000,1913000000,2031000000,2250000000,2563000000,2681000000,2388000000,2340000000,2429000000,2307000000,2783000000,3693000000,5876000000,7108000000,7689000000,6943000000,7520000000,9955000000,13614000000,18099000000,22007000000,22321000000,22226000000,26139000000,27350000000,30942000000,39437000000,47516000000,52538000000,62091000000,71910000000,84940000000,91744000000,121006000000,148780000000,151048000000,182792000000,183712000000,194931000000,249203000000,266098000000,325596000000,438228000000,593326000000,761953000000,968978000000,1220456000000,1430693000000,1201612000000,1577754000000,1898381000000,2048714000000,2209005000000,2342293000000,2273468000000,2097632000000,2263346000000,2486695000000,2499457000000,2589952000000,3358163000000,3593601000000
DEU,Germany,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,11416000000,12651000000,13244000000,14578000000,16230000000,17913000000,20157000000,21761000000,24888000000,28852000000,34228000000,38845000000,46737000000,67563000000,89368000000,90176000000,102162000000,118072000000,142453000000,171804000000,192860000000,176047000000,176424000000,169417000000,171735000000,183933000000,243326000000,294369000000,323323000000,341231000000,421100000000,402843000000,430042000000,380096000000,426935000000,523461000000,524649000000,512891000000,543752000000,543539000000,551810000000,571645000000,615831000000,751560000000,909887000000,970914000000,1108107000000,1321214000000,1446171000000,1120041000000,1258924000000,1473985000000,1401113000000,1445067000000,1494214000000,1326206000000,1334355000000,1448191000000,1560539000000,1489412000000,1382533000000,1636742000000,1655480000000
EGY,"Egypt, Arab Rep",MEA,Middle East and North Africa,MNA,Middle East and North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,568000000,485000000,401000000,522000000,539000000,605000000,605000000,566000000,622000000,745000000,762000000,789000000,825000000,1121000000,1516000000,1402000000,1522000000,1708000000,1737000000,1840000000,3046000000,3233000000,3120000000,3215000000,3140000000,3714000000,2934000000,4351000000,5706000000,6764000000,2585000000,3659000000,3051000000,3105000000,3463000000,3435000000,3535000000,3921000000,3130000000,3559000000,5276000000,4825000000,5546000000,7408000000,9661000000,12912000000,16728000000,19224000000,26224000000,23062000000,26438000000,30528000000,29409000000,29018000000,26853000000,21349000000,25468000000,25604000000,27624000000,29000000000,27078000000,40798000000,49277000000
ESP,Spain,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,725000000,710000000,737000000,735000000,920000000,935000000,1254000000,1362000000,1589000000,1900000000,2388000000,2964000000,3817000000,5198000000,7091000000,7690000000,8730000000,10223000000,13114000000,18208000000,20720000000,20334000000,20498000000,19734000000,23508000000,24247000000,27206000000,34192000000,40341000000,44492000000,55642000000,60177000000,64334000000,64603000000,76696000000,97849000000,107243000000,100756000000,111973000000,104433000000,115251000000,116660000000,125687000000,156147000000,182623000000,192644000000,213717000000,253297000000,281493000000,227338000000,254418000000,306551000000,295250000000,317833000000,324533000000,282274000000,289981000000,319531000000,346754000000,334018000000,308317000000,379969000000,418364000000
