,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
0,United Arab Emirates,1992,3.671,65518.024,542953.728,ARE,54239171887.769,
1,Argentina,1992,0.99064165,200117.984,124141.24,ARG,228788617201.696,6807692307.69231
2,Australia,1992,1.3616483,1671112.96,660796.352,AUS,325531800353.765,63464585095.7471
3,Brazil,1992,0.0019530235,519302.08,64751.736,BRA,328187960871.951,55998762943.7127
4,Canada,1992,1.2087229,1926516.992,653178.048,CAN,592387689252.916,145295772317.366
5,Switzerland,1992,1.4062183,523643.808,159871.008,CHE,279921425828.474,33110945100.2702
6,China,1992,5.5145917,,,CHN,426915712711.146,61649459624.8038
7,Germany,1992,1.56165,4014989.056,2447975.424,DEU,2131571696931.75,409711959924.859
8,"Egypt, Arab Rep",1992,3.3217483,,,EGY,41855986519.4235,4363133030.42157
9,Spain,1992,102.37908,355676.032,353482.24,ESP,630916018202.503,112339151633.35
10,France,1992,5.2938156,1495460.224,764203.264,FRA,1401465923172.24,311955390334.572
11,United Kingdom,1992,0.56977415,1013577.152,922826.944,GBR,1179659529659.53,234903610038.61
12,Indonesia,1992,2029.9208,1554216.064,471431.488,IDN,128026966579.964,12183386537.4005
13,India,1992,25.918083,180965.664,158432.144,IND,288208430383.964,31458084134.4425
14,"Iran, Islamic Rep",1992,65.567841,,,IRN,804185037658.5969,
15,Italy,1992,1232.4059,1748230.656,1095467.648,ITA,1320161644933.23,257832974076.984
16,Japan,1992,126.65134,13682405.376,11678698.496,JPN,3908809463463.86,547053208297.112
17,"Korea, Rep",1992,780.67084,,,KOR,355525267405.367,39323128162.4287
18,Mexico,1992,3.0948982,113980.88,157733.184,MEX,363157598242.27,36108304307.0859
19,Malaysia,1992,2.5473833,830139.968,645428.928,MYS,59167550162.956,7697805002.55232
20,Netherlands,1992,1.7584664,508172.192,1200322.816,NLD,362962872180.451,81308863408.5213
