countrycode;countryname;year;GDP(current $USD)
ARE;United Arab Emirates;1992;54239171887.769
ARG;Argentina;1992;228788617201.696
AUS;Australia;1992;325531800353.765
BRA;Brazil;1992;328187960871.951
CAN;Canada;1992;592387689252.916
CHE;Switzerland;1992;279921425828.474
CHN;China;1992;426915712711.146
DEU;Germany;1992;2131571696931.75
EGY;Egypt, Arab Rep;1992;41855986519.4235
ESP;Spain;1992;630916018202.503
FRA;France;1992;1401465923172.24
GBR;United Kingdom;1992;1179659529659.53
IDN;Indonesia;1992;128026966579.964
IND;India;1992;288208430383.964
IRN;Iran, Islamic Rep;1992;804185037658.5969
ITA;Italy;1992;1320161644933.23
JPN;Japan;1992;3908809463463.86
KOR;Korea, Rep;1992;355525267405.367
MEX;Mexico;1992;363157598242.27
MYS;Malaysia;1992;59167550162.956
NLD;Netherlands;1992;362962872180.451
PHL;Philippines;1992;60422309295.4434
RUS;Russian Federation;1992;460290556900.726
SAU;Saudi Arabia;1992;137087876662.216
SGP;Singapore;1992;52130263965.6231
THA;Thailand;1992;111452869378.467
TUR;Turkey;1992;158459130434.783
USA;United States;1992;6520327000000.0
VNM;Vietnam;1992;9866990236.435867
ZAF;South Africa;1992;146956872370.266
ARE;United Arab Emirates;1993;55625170253.337
ARG;Argentina;1993;236741715015.015
AUS;Australia;1993;312138139404.16
BRA;Brazil;1993;368295778245.09
CAN;Canada;1993;577170761956.438
CHE;Switzerland;1993;272237527070.926
CHN;China;1993;444731282436.762
DEU;Germany;1993;2071323790370.28
EGY;Egypt, Arab Rep;1993;46578631452.581
ESP;Spain;1993;525075636030.854
FRA;France;1993;1322815612694.0
GBR;United Kingdom;1993;1061388722255.55
IDN;Indonesia;1993;158006700301.533
IND;India;1993;279296022987.919
IRN;Iran, Islamic Rep;1993;63743623232.012
ITA;Italy;1993;1064958075550.63
JPN;Japan;1993;4454143876947.21
KOR;Korea, Rep;1993;392666101884.959
MEX;Mexico;1993;500736065605.341
MYS;Malaysia;1993;66894837030.4184
NLD;Netherlands;1993;353550169672.52
PHL;Philippines;1993;62036625222.1624
RUS;Russian Federation;1993;435083713850.837
SAU;Saudi Arabia;1993;132967901415.22
SGP;Singapore;1993;60603478153.2368
THA;Thailand;1993;128889318946.587
TUR;Turkey;1993;180169736363.636
USA;United States;1993;6858559000000.0
VNM;Vietnam;1993;13180953598.1716
ZAF;South Africa;1993;147196639471.188
ARE;United Arab Emirates;1994;59305093979.842
ARG;Argentina;1994;257440000000.0
AUS;Australia;1994;322809408509.166
BRA;Brazil;1994;525369851353.742
CAN;Canada;1994;578139279437.61
CHE;Switzerland;1994;301375055202.164
CHN;China;1994;564324670005.917
DEU;Germany;1994;2205074123177.05
EGY;Egypt, Arab Rep;1994;51897983392.6453
ESP;Spain;1994;530562634455.347
FRA;France;1994;1393982750472.59
GBR;United Kingdom;1994;1140489745944.29
IDN;Indonesia;1994;176892143931.505
IND;India;1994;327275583539.559
IRN;Iran, Islamic Rep;1994;71841461172.5964
ITA;Italy;1994;1099216688280.5
JPN;Japan;1994;4998797547740.97
KOR;Korea, Rep;1994;463617399962.661
MEX;Mexico;1994;527813238126.278
MYS;Malaysia;1994;74478356957.7808
NLD;Netherlands;1994;379130260322.073
PHL;Philippines;1994;73159245525.6424
RUS;Russian Federation;1994;395077301248.464
SAU;Saudi Arabia;1994;135174886488.652
SGP;Singapore;1994;73690847191.3055
THA;Thailand;1994;146683499005.964
TUR;Turkey;1994;130690172297.297
USA;United States;1994;7287236000000.0
VNM;Vietnam;1994;16286433533.3228
ZAF;South Africa;1994;153512625915.287
ARE;United Arab Emirates;1995;65743666575.8649
ARG;Argentina;1995;258031750000.0
AUS;Australia;1995;368140778140.778
BRA;Brazil;1995;769333330411.575
CAN;Canada;1995;604031623433.401
CHE;Switzerland;1995;352835806342.495
CHN;China;1995;734547898220.508
DEU;Germany;1995;2585792275146.72
EGY;Egypt, Arab Rep;1995;60159245060.4541
ESP;Spain;1995;614609020549.773
FRA;France;1995;1601094756209.75
GBR;United Kingdom;1995;1346184314344.33
IDN;Indonesia;1995;202132028723.115
IND;India;1995;360281952716.797
IRN;Iran, Islamic Rep;1995;96419225743.67372
ITA;Italy;1995;1174662070605.02
JPN;Japan;1995;5545563663889.7
KOR;Korea, Rep;1995;566583427334.137
MEX;Mexico;1995;360073909243.855
MYS;Malaysia;1995;88705342902.7113
NLD;Netherlands;1995;452301674444.139
PHL;Philippines;1995;84644220101.4991
RUS;Russian Federation;1995;395537185734.854
SAU;Saudi Arabia;1995;143343036341.789
SGP;Singapore;1995;87810991957.1046
THA;Thailand;1995;169278753531.98
TUR;Turkey;1995;169485941048.035
USA;United States;1995;7639749000000.0
VNM;Vietnam;1995;20736164458.9505
ZAF;South Africa;1995;171735223677.318
ARE;United Arab Emirates;1996;73571233996.1863
ARG;Argentina;1996;272149750000.0
AUS;Australia;1996;401311077389.985
BRA;Brazil;1996;850426432991.742
CAN;Canada;1996;628546387972.131
CHE;Switzerland;1996;340103959546.926
CHN;China;1996;863746717503.789
DEU;Germany;1996;2497244606186.64
EGY;Egypt, Arab Rep;1996;67629716981.1321
ESP;Spain;1996;642588992512.807
FRA;France;1996;1605675086549.56
GBR;United Kingdom;1996;1421619344773.79
IDN;Indonesia;1996;227369679374.973
IND;India;1996;392897054348.071
IRN;Iran, Islamic Rep;1996;120403931885.441
ITA;Italy;1996;1312426527795.21
JPN;Japan;1996;4923391533851.63
KOR;Korea, Rep;1996;610169556840.077
MEX;Mexico;1996;410975595310.156
MYS;Malaysia;1996;100855393910.486
NLD;Netherlands;1996;450490196078.431
PHL;Philippines;1996;94648084429.0341
RUS;Russian Federation;1996;391724890744.498
SAU;Saudi Arabia;1996;158662398744.993
SGP;Singapore;1996;96295886524.82268
THA;Thailand;1996;183035114648.4
TUR;Turkey;1996;181475555282.555
USA;United States;1996;8073122000000.0
VNM;Vietnam;1996;24657470574.7501
ZAF;South Africa;1996;163236785802.34
ARE;United Arab Emirates;1997;78839008444.5655
ARG;Argentina;1997;292859000000.0
AUS;Australia;1997;435614337141.963
BRA;Brazil;1997;883206452805.504
CAN;Canada;1997;654986999855.554
CHE;Switzerland;1997;294788198856.198
CHN;China;1997;961603952951.82
DEU;Germany;1997;2211989623279.95
EGY;Egypt, Arab Rep;1997;78436578171.0914
ESP;Spain;1997;590077272727.273
FRA;France;1997;1452884917959.09
GBR;United Kingdom;1997;1561807465618.86
IDN;Indonesia;1997;215748998609.635
IND;India;1997;415867753863.874
IRN;Iran, Islamic Rep;1997;113919163421.155
ITA;Italy;1997;1241879604365.62
JPN;Japan;1997;4492448605638.94
KOR;Korea, Rep;1997;569754543829.957
MEX;Mexico;1997;500413483109.175
MYS;Malaysia;1997;100005323301.867
NLD;Netherlands;1997;416812740004.518
PHL;Philippines;1997;94106183450.0029
RUS;Russian Federation;1997;404928954191.876
SAU;Saudi Arabia;1997;165963557409.88
SGP;Singapore;1997;100124191810.345
THA;Thailand;1997;150180619366.605
TUR;Turkey;1997;189834649111.257
USA;United States;1997;8577554457000.0
VNM;Vietnam;1997;26843700441.5482
ZAF;South Africa;1997;168976663845.486
ARE;United Arab Emirates;1998;75674336283.1858
ARG;Argentina;1998;298948250000.0
AUS;Australia;1998;399660855999.457
BRA;Brazil;1998;863711007313.877
CAN;Canada;1998;634000000000.0
CHE;Switzerland;1998;303459014346.806
CHN;China;1998;1029043097554.08
DEU;Germany;1998;2238990774702.68
EGY;Egypt, Arab Rep;1998;84828807556.0803
ESP;Spain;1998;619214834614.099
FRA;France;1998;1503108739159.44
GBR;United Kingdom;1998;1655061278569.06
IDN;Indonesia;1998;95445547872.715
IND;India;1998;421351477504.743
IRN;Iran, Islamic Rep;1998;110276913362.508
ITA;Italy;1998;1270052525928.4
JPN;Japan;1998;4098362709531.24
KOR;Korea, Rep;1998;383330931042.356
MEX;Mexico;1998;526502129378.284
MYS;Malaysia;1998;72167498980.8398
NLD;Netherlands;1998;438008220395.468
PHL;Philippines;1998;74492325248.0247
RUS;Russian Federation;1998;270955486862.442
SAU;Saudi Arabia;1998;146775498080.0
SGP;Singapore;1998;85728310229.4455
THA;Thailand;1998;113675561057.462
TUR;Turkey;1998;275967393939.394
USA;United States;1998;9062818202000.0
VNM;Vietnam;1998;27209602050.0452
ZAF;South Africa;1998;152982541794.042
