,countryname,year,exchange rate (to $USD)
960,United Arab Emirates,1992,3.671
961,Argentina,1992,0.99064165
962,Australia,1992,1.3616483
963,Brazil,1992,0.0019530235
964,Canada,1992,1.2087229
965,Switzerland,1992,1.4062183
966,China,1992,5.5145917
967,Germany,1992,1.56165
968,"Egypt, Arab Rep",1992,3.3217483
969,Spain,1992,102.37908
970,France,1992,5.2938156
971,United Kingdom,1992,0.56977415
972,Indonesia,1992,2029.9208
973,India,1992,25.918083
974,"Iran, Islamic Rep",1992,65.567841
975,Italy,1992,1232.4059
976,Japan,1992,126.65134
977,"Korea, Rep",1992,780.67084
978,Mexico,1992,3.0948982
979,Malaysia,1992,2.5473833
980,Netherlands,1992,1.7584664
981,Philippines,1992,25.512491
982,Russian Federation,1992,
983,Saudi Arabia,1992,3.75
984,Singapore,1992,1.6289667
985,Thailand,1992,25.400127
986,Turkey,1992,0.0068724235
987,United States,1992,1.0
988,Vietnam,1992,11202.191
989,South Africa,1992,2.8520141
990,United Arab Emirates,1993,3.671
991,Argentina,1993,0.99894583
992,Australia,1993,1.47056
993,Brazil,1993,0.038276613
994,Canada,1993,1.2900879
995,Switzerland,1993,1.4776167
996,China,1993,5.7619581
997,Germany,1993,1.6533208
998,"Egypt, Arab Rep",1993,3.3525176
999,Spain,1993,127.26041
1000,France,1993,5.6632299
1001,United Kingdom,1993,0.66675657
1002,Indonesia,1993,2087.1038
1003,India,1993,30.493292
1004,"Iran, Islamic Rep",1993,1268.0787
1005,Italy,1993,1573.6659
1006,Japan,1993,111.19778
1007,"Korea, Rep",1993,802.53833
1008,Mexico,1993,3.1156166
1009,Malaysia,1993,2.574095
1010,Netherlands,1993,1.8573052
1011,Philippines,1993,27.119843
1012,Russian Federation,1993,0.99166667
1013,Saudi Arabia,1993,3.75
1014,Singapore,1993,1.6157908
1015,Thailand,1993,25.319611
1016,Turkey,1993,0.010984628
1017,United States,1993,1.0
1018,Vietnam,1993,10640.958
1019,South Africa,1993,3.2677417
1020,United Arab Emirates,1994,3.671
1021,Argentina,1994,0.99900836
1022,Australia,1994,1.3677509
1023,Brazil,1994,0.66468352
1024,Canada,1994,1.3656734
1025,Switzerland,1994,1.3676925
1026,China,1994,8.6187429
1027,Germany,1994,1.6227942
1028,"Egypt, Arab Rep",1994,3.3851333
1029,Spain,1994,133.95796
1030,France,1994,5.5520449
1031,United Kingdom,1994,0.65342659
1032,Indonesia,1994,2160.7537
1033,India,1994,31.373743
1034,"Iran, Islamic Rep",1994,1749.1737
1035,Italy,1994,1612.4449
1036,Japan,1994,102.20781
1037,"Korea, Rep",1994,803.77167
1038,Mexico,1994,3.3751166
1039,Malaysia,1994,2.6242566
1040,Netherlands,1994,1.819995
1041,Philippines,1994,26.417166
1042,Russian Federation,1994,
1043,Saudi Arabia,1994,3.75
1044,Singapore,1994,1.5274441
1045,Thailand,1994,25.149952
1046,Turkey,1994,0.029608676
1047,United States,1994,1.0
1048,Vietnam,1994,10965.667
1049,South Africa,1994,3.5507984
1050,United Arab Emirates,1995,3.671
1051,Argentina,1995,0.99975002
1052,Australia,1995,1.3490325
1053,Brazil,1995,0.91766667
1054,Canada,1995,1.3724455
1055,Switzerland,1995,1.1824691
1056,China,1995,8.3514166
1057,Germany,1995,1.4331325
1058,"Egypt, Arab Rep",1995,3.3922083
1059,Spain,1995,124.689
1060,France,1995,4.9914827
1061,United Kingdom,1995,0.63366812
1062,Indonesia,1995,2248.6079
1063,India,1995,32.427078
1064,"Iran, Islamic Rep",1995,1748.3502
1065,Italy,1995,1628.9331
1066,Japan,1995,94.059578
1067,"Korea, Rep",1995,771.25415
1068,Mexico,1995,6.419425
1069,Malaysia,1995,2.5044041
1070,Netherlands,1995,1.6056752
1071,Philippines,1995,25.714466
1072,Russian Federation,1995,
1073,Saudi Arabia,1995,3.75
